"- 
A  new  duty  structure  was  introduced  on  locally  assembled/  manufactured  motor 
vehicles and motor bicycles in line with the implementation of Standard Operating 
Procedures  (SOPs)  for  the  automobile  manufacturing/assembling  industry  and 
automobile component manufacturing industry (Extraordinary Gazette Notification 
No. 2222/3).
22 April 2021 
- 
Excise duty rates were revised on mobile workshop vehicles (Extraordinary Gazette 
Notification No. 2224/24).
03 August 2021  
- 
Importation of 52 water bowsers and 62 double cabs for essential field activities, 
on the recommendation of the Director General of Department of National Budget 
subject to the approval of the Secretary to the Treasury, was exempted from excise 
duty (Extraordinary Gazette Notification No. 2239/16).
12 November 2021 
- 
Excise duty on cigarettes was revised as follows (Extraordinary Gazette Notification 
No. 2253/42):
72 mm– 84 mm
43,100
46,600
Customs Duty
Customs duty on the importation of Petrol and Diesel was revised as follows:
Note: The surcharge imposed for a period of three months effective from 24 November 2020 was rescinded on 
          02 February 2021. 
11 August 2021 
- 
Customs duty waiver on the importation of milk powder was reduced to Rs. 15 per 
kg from Rs. 210 per kg (Customs Tariff and Tax Changes of the Sri Lanka Customs 
Website – TIP/TP/01/47 (Vol. 2)).","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","Type","","","Prevailed Tax
w.e.f. 01.12.2019
(Rs. per 1,000 sticks)","","","Tax Revision
w.e.f. 13.11.2021
(Rs. per 1,000 sticks)","",""
"","< 60 mm","","","13,360","","","6,750","",""
"","60 mm – 67 mm","","","22,300","","","28,850","",""
"","67 mm – 72 mm","","","37,650","","","41,100","",""
"","","","","","","","","",""
"","> 84 mm","","","48,350","","","51,800","",""
"","","","","","","","","",""
"","Item","Date","Customs Import 
Duty  
(Rs. per litre)","","Customs Duty 
Waiver
(Rs. per litre)","","","Applicable Duty
(Rs. per litre)",""
"","Petrol
(92 Octane)","31.12.2020","50.00","","18.00","","","32.00",""
"","","02.02.2021","50.00","","29.00","","","21.00",""
"","","25.03.2021","50.00","","45.00","","","5.00",""
"","Petrol
(95 Octane)","31.12.2020","50.00","","16.00","","","34.00",""
"","","02.02.2021","50.00","","8.00","","","42.00",""
"","","25.03.2021","50.00","","24.00","","","26.00",""
"","Auto Diesel","31.12.2020","25.00","","20.00","","","5.00",""
"","","02.02.2021","25.00","","14.00","","","11.00",""
"","","25.03.2021","25.00","","25.00","","","0.00",""
"","Super Diesel","31.12.2020","25.00","","15.00","","","10.00",""
"","","02.02.2021","25.00","","-","","","25.00",""
"","","25.03.2021","25.00","","10.00","","","15.00",""
"","","","","","","","","",""
