"","Performance of UT Sector","","",""
"","","","","Categorisation of the UT Sector in terms of the"
"","","","Number of Funds",""
"Item","2021 (a)","2022 (b)","",""
"","","","Others*",""
"","","","10%","Money Market"
"No. of Unit Trusts","75","80","",""
"","","","","Funds 22%"
"Total No. of Unit Holders","59,426","67,912","",""
"","","","Index/Sector",""
"No. of Units in Issue (mn)","7,835","6,283","Funds",""
"Total Assets (Rs. bn)","195","150","5%",""
"Net Asset Value-NAV (Rs. bn)","191","143","",""
"Investments in Equities (Rs. bn)","17.6","11.8","",""
"Share of Total Net Assets (%)","9.1","7.9","Balanced Funds",""
"Investments in Government Securities (Rs. bn)","23.4","84.9","13%",""
"Share of Total Net Assets (%)","12.1","56.7","",""
"(a) Revised","Source : Unit Trust Association of Sri Lanka","","",""
