"","DEpARTMENTAL HEADS",""
"Bank Supervision Department","",""
"MRS. V. A. A. N. DE SILVA","-","Director"
"MRS. R. R. S. DE SILVA JAYATILLAKE","-","Additional Director"
"Centre for Banking Studies","",""
"MRS. D. S. W. SAMARATUNGA","-","Director"
"Communications Department","",""
"G. D. P. D. JAYAThILAKE","-","Director"
"MRS. M. K. JAYAWARDENA","-","Additional Director"
"Currency Department","",""
"P. D. R. DAYANANDA","-","Superintendent"
"D. A. M. A. L. B. DEEGALA","-","Additional Superintendent"
"Department of Foreign Exchange","",""
"MRS. D. R. KARUNARATNE","-","Director"
"W. S. PRASANNA","-","Additional Director"
"","Department of Supervision of Non-Bank Financial Institutions",""
"MRS. R. M. C. h. K. JAYASINGhE","-","Director"
"MRS. A. P. LIYANAPATABENDI","-","Additional Director"
"MRS. V. E. I. W. WEERASINGhE","-","Additional Director"
"Domestic Operations Department","",""
"R. A. A. PERERA","-","Director"
"K. S. A. K. SENANAYAKE","-","Additional Director"
"Economic Research Department","",""
"P. K. G. hARISChANDRA","-","Director"
"E. W. K. J. B. EhELEPOLA","-","Additional Director"
"MRS. S. JEGAJEEVAN","-","Additional Director"
"Employees’ provident Fund Department","",""
"A. G. U. ThILAKARAThNA","-","Superintendent"
"D. L. NIhAL","-","Additional Superintendent"
"Facilities Management Department","",""
"J. M. AMEER","-","Director"
"S. K. P. VIThARANA","-","Additional Director"
"Finance Department","",""
"MRS. D. S. L. SIRIMANNE","-","Chief Accountant"
"MRS. K. P. K. WEERASEKARA","-","Additional Chief Accountant"
