"W1-Jan","60","85
110","135","160","W1-Jan","40","60","80"
"W3-Jan","","","","","W3-Jan","","",""
"W1-Feb","","","","","W1-Feb","","",""
"W3-Feb","","","","","W3-Feb","","",""
"","","","","","W1-Mar","","",""
"W1-Mar","","","","","","","",""
"W3-Mar","","","","","W3-Mar","","",""
"W1-Apr","","","","","Weekly Retail Price
W1-Apr","","",""
"","","","","","W3-Apr","","",""
"W3-Apr","","","","","","","",""
"W1-May","","","","","W1-May","","",""
"W3-May","","","","","W3-May","","",""
"W1-Jun","","","","","W1-Jun","","",""
"W3-Jun","","","","Weekly Retail Prices - Sugar
Figure 4.5","W3-Jun","","",""
"2020","","","","","2020
W1-Jul","","",""
"W1-Jul","","","","","","","",""
"","","","","","W3-Jul","","",""
"W3-Jul","","","","","","","",""
"W1-Aug","","","","","W1-Aug","","",""
"W3-Aug","","","","","W3-Aug","","",""
"W1-Sep","","","","","W1-Sep","","MRP w.e.f.",""
"","","","","","W3-Sep","","25.09.2020",""
"W3-Sep","","","","","","","",""
"","","","","","Maximum Retail Price (MPR)
W 1-Oct","","",""
"W 1-Oct","","","","","","","",""
"","","MRP w.e.f.","","","W 3-Oct","","",""
"W 3-Oct","","","","","Central Bank of Sri Lanka
Sources: Consumer Affairs Authority","","",""
"","","10.11.2020","","","W1-Nov","","",""
"W1-Nov","","","","","","","",""
"","","","","","W3-Nov","","",""
"W3-Nov","","","","","","","",""
"W1-Dec","","","","","W1-Dec","","",""
"","","","","","W3-Dec","","",""
"W3-Dec","","","","","","","",""
