"Category of Institution","Permitted business","","","","No. of 
permits 
issued"
"Limited Liability Companies","Buying and 
exchanging foreign","","","",""
"who are solely engaged in","currency","","","",""
"the money changing business","","","","","67*"
"","","Buying, selling and","","",""
"","","","","",""
"(money changers)","currency","","","",""
"","","exchanging foreign","","",""
"","","","","",""
"","","Buying, selling and","","",""
"","","","","",""
"Licensed Finance Companies","","","","",""
"(LFCs)","currency","exchanging foreign","","","08"
"","","","","",""
"Tourist Hotels","Buying foreign","","","","03"
"","currency","","","",""
"Total 
*    Permits  were  issued  to  67  companies,  which  include  78  money  changing  outlets/ 
branches. Out of those 78 outlets, 64 were permitted to buy and exchange foreign 
currency while the remaining 14 were permitted to buy, sell and exchange foreign 
currency.","","","","78",""
"","","","","",""
"","","","","",""
