"","","","","","","","","","",""
"","55.6 As  per 
the  Circular 
issued  by  Director  Bank 
Lankaputhra Development Bank to agriculture under 
Supervision,  the  banks  who  do  not  maintain  the 
Viskam  Refinance  Scheme.  As  of  31  December 
minimum advance limit of 10 % to agriculture are 
2018, all such collected funds have been refunded 
required  to  contribute  the  shortfall  to  Refinance 
to  banks  and  no  loans  were  outstanding  under 
Fund operated by RDD of the Bank. RDD refinances 
the 
refinance  scheme.  Further,  Rs.  161.31  Mn  
such  amounts  collected  through  Bank  of  Ceylon, 
(2019  -  Rs.  102.65  Mn)  of  income  was  earned 
Peoples’  Bank,  Pradeshiya  Sanwardena  Bank  and 
from the investments during the year 2020.
55.7 On behalf of the Monetary Board of the Bank, RDD acts as the exclusive agent of the GOSL with regard to the 
projects funded by GOSL and foreign donors. RDD also implements the CBSL funded projects.
 
 
I. CBSL Funded Projects
   (i)  Concluded Projects
  (ii) Ongoing Projects
Saubagya Loan Scheme
LKR
 13,072.00  Extend the Business activities of  MSMEs and disaster affected MSMEs.
 32,061.00 
II. GOSL/Donor Funded Projects
    (i) Concluded Projects","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","Name of the Project/ Loan 
Scheme","","Total Allocation of the 
Fund (Mn.)","","Objective/s","","","Refinance 
Granted to PFIs 
(Rs. Mn.)",""
"","","","","","","","","","",""
"","","Susahana","","LKR","","352.69  Resumption of Tsunami affected Businesses/ Enterprises.","","","351.06",""
"","","","","","","","","","",""
"","","Susahana","","LKR","","3,000.00  Provide credit facilities to resume Micro Small and Medium Enterprises (MSMEs) affected by the Tsunami.","","","2,750.00",""
"","","","","","","","","","",""
"","","Susahana - Phase II","","LKR","","500.00  Provide further credit facilities to resume MSMEs affected by Tsunami.","","","105.54",""
"","","","","","","","","","",""
"","","Awakening North","","LKR","","2,000.00  Extend credit facilities to Agriculture, Livestock, Micro and Small Enterprises in the Northern Province.","","","2,000.00",""
"","","","","","","","","","",""
"","","Resumption of Economic Activities","","LKR","","1,000.00  Enhance the activities up granting loans to SME sectors in the Eastern Province.","","","1,000.00",""
"","","in the Eastern Province","","","","","","","",""
"","","","","","","","","","",""
"","","Post Tsunami Coastal Rehabilitation","","SDR","","2.09  Assist communities adversely affected by Tsunami disaster to recover their assets and re-establish the","","","190.77",""
"","","Resource Management Project","","","","foundation of their usual economic activities, while diversifying into new profitable income generating","","","",""
"","","","","","","activities.","","","",""
"","","","","","","","","","",""
"","","Resumption of Economic Activities","","LKR","","1,078.27  Assists Agriculture, Livestock, Micro and Small Enterprises in the Eastern Province.","","","1,000.00",""
"","","in the Eastern Province - Phase II","","","","","","","",""
"","","","","","","","","","",""
"","","Resumption of Economic Activities","","LKR","","1,000.00  Further assist Agriculture, Livestock, Micro and Small Enterprises in the Eastern Province based on high","","","1,428.47",""
"","","in the Eastern Province - Phase III","","","","demand and requirement of the area to rehabilitate the business environment.","","","",""
"","","","","","","","","","",""
"","","Repair of Damaged Houses in the 
North and East Province","","LKR","","600.00  Provide credit facilities for repairing the damaged houses affected by the civil conflict in the Northern and","","","600.00",""
"","","","","","","Eastern Provinces.","","","",""
"","","","","","","","","","",""
