"Source of Income","2019
2020","","","","","","","",""
"","","Amount","","","Share","Amount","Share","",""
"","","","","","","","","",""
"","","(Rs.mn)","(%)","","","(Rs.mn)","(%)","",""
"Interest with amortisation gains","","254,681.0","98.3   277,409.0","","","","97.2","",""
"Marked to market gain/loss from","","","","","","","","",""
"Equity
Capital gains from Government 
Securities
Dividends","","(1,890.0)
0.1
6,247.5","(0.7)
-
2.4","","","5,023.1
-
2,985.0","1.8
-
1.0","",""
"","","","","","","","","",""
"Impairment of financial assets","","0.3","-","","","1.6","-","",""
"Total","","259,038.9","100.0   285,418.8","","","","100.0","",""
"","","","","","","","","",""
"Source: EPF Department, Central Bank of Sri Lanka","","","","","","","","",""
