"","","","","","","","","","","","","","","","",""
"","Central Bank of Sri Lanka
Statement of Other Comprehensive Income
As at 31 December
Note
Profit for the Year
Other Comprehensive Income (OCI)
Net Fair Value Gain on Government Securities at Fair Value through Other Comprehensive Income
Items that will not be re-classified subsequently to Profit/(Loss)
Gain on Revaluation of Property, Plant & Equipment
Post-Employment Benefit Plan Cost Recognized in Other Comprehensive Income
Net Fair Value Gain on Equity Investments at Fair Value through Other Comprehensive Income
Other Comprehensive Income
Total Comprehensive Income
Figures in brackets indicate deductions
The accounting policies and notes on pages 13 through 74 form an integral part of these Financial Statements.","Items that are or may be re-classified subsequently to Profit/(Loss)","","","","","","","","","","","","2019
Rs. 000    
55,604,839","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","2020 
Rs. 000  
63,432,761","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","Net Fair Value Gain on Securities at Fair Value through Other Comprehensive Income","","","","","","","34","","","9,910,943","","","10,665,451",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","34","","","3,547,766","","","113,231",""
"","","","","","","","","","","","13,458,709","","","10,778,682","",""
"","","","32","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","3,671,689 
(13,394,058)","","","-   
(873,926)","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","34","","","","","","","","108,379","","","115,859","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","(9,613,990)
 3,844,719","","","","(758,067)
 10,020,615","",""
"","","","","","","","","","","67,277,480","","","","65,625,454","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
