"No.","HS code"
"253","610463"
"254","610469"
"255","610510"
"256","610520"
"257","610590"
"258","610610"
"259","610620"
"260","610690"
"261","610721"
"262","610729"
"263","610791"
"264","610799"
"265","610831"
"266","610832"
"267","610839"
"268","610891"
"269","610892"
"270","610899"
"271","610910"
"272","610990"
"273","611011"
"274","611012"
"275","611019"
"276","611020"
"277","611030"
"278","611090"
"279","611120"
"280","611130"
"281","611190"
"282","611211"
"283","611212"
"284","611219"
"285","611231"
"286","611239"
"287","611241"
"288","611249"
"289","611300"
"290","611420"
"291","611430"
"292","611490"
"293","611510"
"294","611529"
"295","611530"
"296","611594"
