"No.","HS code"
"209","570292"
"210","570299"
"211","570320"
"212","570330"
"213","57039090"
"214","57049090"
"215","570500"
"216","610120"
"217","610130"
"218","610190"
"219","610210"
"220","610220"
"221","610230"
"222","610290"
"223","610310"
"224","610322"
"225","610323"
"226","610329"
"227","610331"
"228","610332"
"229","610333"
"230","610339"
"231","610341"
"232","610342"
"233","610343"
"234","610349"
"235","610413"
"236","610419"
"237","610422"
"238","610423"
"239","610429"
"240","610431"
"241","610432"
"242","610433"
"243","610439"
"244","610442"
"245","610443"
"246","610444"
"247","610449"
"248","610452"
"249","610453"
"250","610459"
"251","610461"
"252","610462"
