"No.","HS code"
"165","40169510"
"166","40169590"
"167","40169990"
"168","420100"
"169","420211"
"170","420212"
"171","420219"
"172","420221"
"173","420222"
"174","420229"
"175","420231"
"176","420232"
"177","420239"
"178","420291"
"179","420292"
"180","420299"
"181","420310"
"182","420321"
"183","420329"
"184","420330"
"185","420340"
"186","42050010"
"187","42050090"
"188","430400"
"189","441911"
"190","441990"
"191","442090"
"192","44219190"
"193","44219990"
"194","480300"
"195","48181010"
"196","48181090"
"197","481820"
"198","481830"
"199","48185090"
"200","48189020"
"201","48189090"
"202","570110"
"203","57019090"
"204","57022010"
"205","570231"
"206","570232"
"207","570241"
"208","570249"
