"No.","HS code"
"605","850940"
"606","850980"
"607","851010"
"608","851020"
"609","851030"
"610","85131010"
"611","85131090"
"612","851610"
"613","851621"
"614","851629"
"615","851631"
"616","851632"
"617","851633"
"618","851640"
"619","851650"
"620","85166010"
"621","85166090"
"622","851671"
"623","851672"
"624","85167910"
"625","85167920"
"626","85167990"
"627","851680"
"628","851711"
"629","85171210"
"630","85171220"
"631","85171290"
"632","851718"
"633","85258090"
"634","852712"
"635","852713"
"636","852719"
"637","852721"
"638","852729"
"639","852791"
"640","852792"
"641","852799"
"642","85285990"
"643","852869"
"644","85287120"
"645","85287190"
"646","85287210"
"647","85287231"
"648","85287232"
