"Price per copy (for Volume I)","",""
"Counter sales","–","Rs. 700 per copy"
"Despatch by ordinary mail","–","Rs. 1,000 per copy"
"Despatch by registered mail","–","Rs. 1,520 per copy"
"Price per copy (for Volume II)","",""
"Counter sales","–","Rs. 800 per copy"
"Despatch by ordinary mail","–","Rs. 1,100 per copy"
"Despatch by registered mail","–","Rs. 1,650 per copy"
"Price per copy (for both Volumes)","",""
"Counter sales","–","Rs. 1,500 per copy"
"Despatch by ordinary mail","–","Rs. 1,850 per copy"
"Despatch by registered mail not available","",""
"Despatch abroad (common to all above)","",""
"Air mail (1st  Class)","–","US $ 40 per copy (Registered post)"
"Air mail (2nd Class)","–","US $ 35 per copy (Registered post)"
"Sea mail","–","US $ 25 per copy (Registered post)"
