"Item","","","","","","","","","",""
"","2017","2018","2019","2020","2021 (b)","2017","2018","2019","2020","2021 (b)"
"Black Tea","","","","","","","","","",""
"Bulk","125,629","122,428","122,844","118,251","125,388","605","553","490","479","491"
"Packets","134,509","131,257","139,080","118,177","128,344","669","620","590","523","555"
"Bags","21,701","21,578","22,913","22,173","24,665","188","185","191","172","199"
"Green Tea","","","","","","","","","",""
"Bulk","1,065","1,116","998","582","874","5","6","5","3","4"
"Packets","2,184","1,671","1,821","1,734","1,666","16","14","15","14","13"
"Bags","1,774","1,833","1,930","1,810","2,047","29","31","33","28","35"
"Instant Tea","2,121","2,481","3,072","2,843","3,032","17","20","23","22","26"
"Total","288,984","282,364","292,657","265,570","286,016","1,530","1,428","1,346","1,241","1,324"
"(a)   Bags: less than 4g","","","","","","","","","Source: Sri Lanka Customs",""
