"Item","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020 (a) 2021 (b)",""
"1.  Total Area under Cane","","","","","","","","","","",""
"(with Ratoons)  (c)","hectares","9,208","11,801","12,608","12,135","11,784","11,156","11,228","12,270","13,564","14,045"
"2.  Area Harvested","","","","","","","","","","",""
"","hectares","7,034","9,329","11,045","9,005","11,676","9,943","9,238","10,550","12,449","12,312"
"(with Ratoons)  (c)","","","","","","","","","","",""
"3.  Cane Harvested","","","","","","","","","","",""
"","mt ‘000","348","534","576","572","653","591","567","600","699","898"
"(with Ratoons)  (c)","","","","","","","","","","",""
"4.  Private Cane Purchased","mt ‘000","112","144","204","190","315","301","182","67","120","100"
"5.  Quantity of Cane Crushed","mt ‘000","432","644","657","750","798","747","720","729","884","1,139"
"6.  Average Yield (c)","mt/hectare","54","67","75","89","58","56","55","62","59","75"
"7.  Sugar Production","","","","","","","","","","",""
"(without Sweepings)","mt ‘000","36","53","52","56","61","56","51","52","60","71"
"8.  Sugar Recovery Rate (d)","percentage","8.2","8.2","8.0","7.5","7.7","7.4","7.1","7.2","6.8","6.2"
"(a)  Revised","","","","","","Sources: Lanka Sugar Company (Pvt) Ltd. - Sevanagala Unit","","","","",""
