"No.","HS code"
"737","940592"
"738","94059910"
"739","94059990"
"740","95030010"
"741","95030030"
"742","95030050"
"743","95030070"
"744","95030080"
"745","95030090"
"746","950420"
"747","950440"
"748","950450"
"749","95049090"
"750","950510"
"751","950590"
"752","95062910"
"753","95062920"
"754","95062990"
"755","950631"
"756","950651"
"757","950659"
"758","950661"
"759","950662"
"760","950669"
"761","950691"
"762","950699"
"763","950720"
"764","950790"
"765","950890"
"766","960340"
"767","960400"
"768","960500"
"769","961310"
"770","961320"
"771","961390"
"772","961511"
"773","961519"
"774","961590"
"775","96161010"
"776","96161090"
"777","96170090"
"778","961800"
"779","962000"
"",""
