"No.","HS code"
"429","630312"
"430","630319"
"431","630391"
"432","630392"
"433","630399"
"434","630411"
"435","63041990"
"436","630420"
"437","630491"
"438","63049290"
"439","63049390"
"440","63049990"
"441","63051010"
"442","63051090"
"443","630520"
"444","630532"
"445","630533"
"446","630539"
"447","630590"
"448","630612"
"449","630619"
"450","630622"
"451","630629"
"452","630630"
"453","630640"
"454","630690"
"455","630710"
"456","630720"
"457","630790"
"458","63079090"
"459","640110"
"460","640199"
"461","640212"
"462","64021910"
"463","64021919"
"464","640220"
"465","640291"
"466","640299"
"467","640312"
"468","64031910"
"469","64031919"
"470","640320"
"471","640340"
"472","640351"
