"No.","HS code"
"561","84151021"
"562","84151022"
"563","84151023"
"564","84151024"
"565","84151029"
"566","84151032"
"567","84151033"
"568","84151034"
"569","84151035"
"570","84151039"
"571","84158190"
"572","84158290"
"573","84158390"
"574","84159019"
"575","84159029"
"576","84181090"
"577","84182190"
"578","84182920"
"579","84182990"
"580","84231020"
"581","84501110"
"582","84501131"
"583","84501132"
"584","84501133"
"585","84501134"
"586","84501139"
"587","84501141"
"588","84501142"
"589","84501143"
"590","84501144"
"591","84501149"
"592","84501210"
"593","84501231"
"594","84501232"
"595","84501233"
"596","84501234"
"597","84501239"
"598","84501910"
"599","84501931"
"600","84501932"
"601","84501933"
"602","84501934"
"603","84501939"
"604","850811"
