"No.","HS code"
"385","621050"
"386","621111"
"387","621112"
"388","621120"
"389","62113290"
"390","62113390"
"391","62113990"
"392","62114219"
"393","62114292"
"394","62114299"
"395","62114319"
"396","62114392"
"397","62114399"
"398","62114919"
"399","62114992"
"400","62114999"
"401","62132090"
"402","62139090"
"403","62141090"
"404","62144090"
"405","62149090"
"406","621510"
"407","621520"
"408","621590"
"409","621600"
"410","630110"
"411","630120"
"412","630130"
"413","630140"
"414","630190"
"415","630210"
"416","63022190"
"417","63022290"
"418","63022990"
"419","63023190"
"420","63023290"
"421","63023990"
"422","630240"
"423","63025190"
"424","63025990"
"425","63026090"
"426","63029190"
"427","63029390"
"428","63029990"
