"No.","HS code"
"297","611595"
"298","611596"
"299","611599"
"300","611610"
"301","611691"
"302","611692"
"303","611693"
"304","611699"
"305","611710"
"306","61178010"
"307","61178020"
"308","620111"
"309","620112"
"310","620113"
"311","620119"
"312","620192"
"313","620193"
"314","620199"
"315","620211"
"316","620212"
"317","620213"
"318","620219"
"319","620291"
"320","620292"
"321","620293"
"322","620299"
"323","620311"
"324","62031290"
"325","62031990"
"326","62032290"
"327","62032390"
"328","62032990"
"329","620331"
"330","62033290"
"331","62033390"
"332","62033990"
"333","620341"
"334","62034290"
"335","62034390"
"336","62034911"
"337","62034990"
"338","62041290"
"339","62041390"
"340","62041990"
