"No.","HS code"
"649","85287233"
"650","85287234"
"651","85287235"
"652","85287236"
"653","85287239"
"654","85287241"
"655","85287249"
"656","85287291"
"657","85287299"
"658","85287320"
"659","85287390"
"660","85291010"
"661","85291030"
"662","85291090"
"663","852990"
"664","853910"
"665","85392110"
"666","85392190"
"667","85392210"
"668","85392220"
"669","85392290"
"670","853929"
"671","85392910"
"672","85392990"
"673","85393110"
"674","85393190"
"675","853932"
"676","853939"
"677","853941"
"678","853949"
"679","853950"
"680","853990"
"681","900410"
"682","900490"
"683","900510"
"684","900580"
"685","910111"
"686","91011990"
"687","910121"
"688","910129"
"689","910191"
"690","910199"
"691","910211"
"692","910212"
