"No.","HS code"
"693","910219"
"694","910221"
"695","910229"
"696","910291"
"697","910299"
"698","910511"
"699","910519"
"700","910521"
"701","910529"
"702","910700"
"703","920110"
"704","920120"
"705","920190"
"706","920210"
"707","920290"
"708","920510"
"709","920590"
"710","920600"
"711","920710"
"712","920790"
"713","920890"
"714","94012090"
"715","94013090"
"716","94017190"
"717","94019090"
"718","94032090"
"719","94039090"
"720","94051010"
"721","94051020"
"722","94051090"
"723","94052010"
"724","94052020"
"725","94052090"
"726","940530"
"727","94054010"
"728","94054020"
"729","94054030"
"730","94054040"
"731","94054090"
"732","94055010"
"733","94055020"
"734","94055090"
"735","940560"
"736","940591"
