"Economic Classification of Government Fiscal Operations","…","…","…","…","97"
"Economic Classification of Government Revenue","…","…","…","…","98"
"","Economic Classification of Government Expenditure and Lending Minus Repayments","","…","…","99"
"Voted Expenditure of the Government of Sri Lanka – 2021","…","…","…","…","100"
"Voted Expenditure of the Government of Sri Lanka – 2022","…","…","…","…","101"
"Current Transfers to Public Corporations and Institutions","…","…","…","…","102"
"Capital Transfers to Public Corporations and Institutions","…","…","…","…","103"
"Composition of Outstanding Central Government Debt (as at end year)","","…","…","…","104"
"Ownership of Central Government Debt (as at end year)","…","…","…","…","105"
"Ownership of Treasury Bills (as at end year)","…","…","…","…","106"
"Ownership of Treasury Bonds (as at end year)","…","…","…","…","107"
"Ownership of Rupee Loans (as at end year)","…","…","…","…","108"
"Ownership of Outstanding Foreign Debt (as at end year)","…","…","…","…","109"
"Foreign Loans – 2021","…","…","…","…","110"
"Net Receipts of Foreign Assistance","…","…","…","…","111"
"Outstanding Central Government Debt (as at end year)","…","…","…","…","112"
"Central Government Debt Service Payments","…","…","…","…","113"
"Budget Outturn for Provincial Councils","…","…","…","…","114"
"Consolidated Budget","…","…","…","…","115"
"MONETARY POLICY, INTEREST RATES, MONEY AND CREDIT","","","","",""
"Currency Issued by the Central Bank (by Denomination)","…","…","…","…","116"
"","","","","",""
"Monetary Aggregates – M1 and M2","…","…","…","…","117"
