"","","","","Per cent per annum","","Rs.  1.8  billion  at  end  2021","",""
"","","Maturity","","Annualised","","","",""
"Year","","","","Overall","Rs.","6.7","billion","at"
"","91-days","182-days","364-days","","","","",""
"","","","","Average","","","",""
"","","","","","","substantive space for new investments.","",""
"2017","9.01","9.80","10.07","9.77","","","",""
"2018","8.40","8.58","9.68","9.36","","","",""
"","","","","","","","",""
"2019","8.15","8.44","9.40","9.06","","equity market","",""
"2020","5.93","5.72","6.37","6.09","","","",""
"2021","6.35","6.13","5.33","6.24","","","",""
"Note: 10% Witholding tax on interest","","","Source: Central Bank of Sri Lanka","","","","",""
