"","","","Import Performance based on Standard International Trade Classification (SITC ) (a)","","","","","","","","","",""
"","","","","","","","Imports (US$ million)","","","","","",""
"","","","","","","","","","","","Commodities","",""
"","","","","","","","","Manufactured","","","","",""
"","","","","Crude","Mineral Fuels,","","Chemicals","","Machinery","","and","",""
"","","","","","","Animal and","","Goods","","Miscellaneous","","","Total Imports"
"","Period","Food and","Beverages","Materials,","Lubricants","","and Related","","and","","Transactions","Total",""
"","","","","","","Vegetable Oils,","","Classified","","Manufactured","","","(Rs. million)"
"","","Live Animals","and Tobacco","Inedible,","and Related","","Products,","","Transport","","Not Classified","Imports",""
"","","","","","","Fats and Waxes","","Chiefly by","","Articles","","",""
"","","","","except Fuels","Materials","","n.e.s.","","Equipment","","Elsewhere in","",""
"","","","","","","","","Material","","","","",""
"","","","","","","","","","","","the SITC","",""
"2017","","2,398","116","510","3,428","188","2,079","5,767","4,586","1,227","681","20,980","3,198,572"
"2018","","2,173","161","487","4,152","185","2,372","5,896","5,233","1,112","461","22,233","3,606,644"
"2019","","1,958","147","466","3,892","111","2,211","5,829","4,292","1,012","20","19,937","3,565,028"
"2020","","2,108","94","436","2,543","195","2,192","4,474","3,204","790","19","16,055","2,974,915"
"2021 (b)","","2,275","77","585","3,743","285","2,848","5,977","3,876","953","18","20,637","4,104,218"
"2019","1st  Quarter","432","39","99","1,019","39","520","1,401","1,022","241","4","4,817","866,034"
"","2nd Quarter","493","33","125","982","21","522","1,374","996","228","5","4,779","840,828"
"","3rd  Quarter","461","41","116","930","23","590","1,500","1,083","253","4","5,000","891,263"
"","4th  Quarter","572","34","127","961","28","579","1,553","1,191","289","6","5,341","966,902"
"2020","1st  Quarter","562","26","133","948","48","465","1,153","928","235","4","4,503","821,457"
"","2nd Quarter","494","26","98","295","23","511","844","728","150","3","3,172","599,729"
"","3rd  Quarter","528","22","108","662","58","566","1,200","766","194","4","4,108","760,928"
"","4th  Quarter","523","20","97","637","67","651","1,277","783","211","8","4,273","792,801"
"2021 (b)","1st  Quarter","637","19","143","977","93","644","1,334","962","229","3","5,041","978,240"
"","2nd Quarter","554","19","144","810","59","734","1,474","949","230","3","4,974","989,351"
"","3rd  Quarter","495","20","134","810","79","719","1,465","961","238","4","4,923","988,389"
"","4th  Quarter","590","20","164","1,146","55","751","1,704","1,004","256","9","5,700","1,148,238"
"2020","January","179","10","49","292","14","177","503","406","106","1","1,735","314,795"
"","February","159","11","43","419","24","164","359","303","80","1","1,562","283,660"
"","March","225","6","41","238","10","125","291","218","50","1","1,205","223,002"
"","April","165","7","32","122","7","172","293","280","45","...","1,123","216,759"
"","May","183","7","37","63","10","168","231","245","47","2","994","186,705"
"","June","147","12","29","110","5","170","320","202","58","1","1,055","196,266"
"","July","168","6","41","200","19","186","383","224","63","3","1,294","240,431"
"","August","161","9","28","248","22","168","370","225","58","...","1,289","238,345"
"","September","199","7","39","214","17","211","447","317","74","1","1,525","282,152"
"","October","154","6","31","223","20","195","428","236","66","3","1,363","251,348"
"","November","161","6","30","179","24","237","414","262","68","2","1,384","255,692"
"","December","208","7","36","235","23","218","434","285","77","3","1,527","285,761"
"2021 (b)","January","201","7","40","310","33","195","421","307","75","1","1,592","303,185"
"","February","195","5","46","320","34","186","399","266","71","1","1,524","295,680"
"","March","241","6","57","347","26","263","514","390","82","...","1,926","379,375"
"","April","170","5","48","413","11","239","429","314","77","1","1,707","336,996"
"","May","162","8","43","331","17","216","506","253","71","...","1,607","320,819"
"","June","222","6","53","66","30","278","539","382","82","2","1,659","331,536"
"","July","149","4","47","256","42","253","532","347","78","2","1,710","341,981"
"","August","194","10","47","353","18","230","448","304","83","1","1,687","338,171"
"","September","151","6","40","201","19","236","485","310","78","...","1,526","308,237"
"","October","185","5","50","385","16","192","523","257","81","1","1,694","340,702"
"","November","175","7","58","319","30","214","505","361","87","8","1,765","356,205"
"","December","230","8","56","442","9","345","676","385","89","1","2,241","451,331"
"(a) Data is compiled based on the latest version of SITC - Revision 4 published in 2006.","","","","","","","","","","","","Sources: Ceylon Petroleum Corporation",""
