"","Table 8.7","","","","","","","","",""
"","","","","","","per cent in 2020 to 14.5 per cent in 2021. Further,","","","",""
"","Profit of the Banking Sector","","","","","","","","",""
"","","","","","","","","","Figure 8.7",""
"","2020 (a)","","2021 (b)","","","","","","",""
"","Amount","As a %","Amount","As a %","","","","Profitability Ratios of the Banking Sector","",""
"Item","(Rs.bn)","of Avg.","(Rs.bn)","of Avg.","","","","","",""
"","","","","","","4","","3.6","3.6",""
"","","Assets","","Assets","","","3.5","","","3.4 
25"
"","","","","","","","","","","3.1"
"Net Interest Income","427.1","3.1","548.9","3.4","","","","","",""
"","","","","","","","17.6","","","20"
"Interest Income","1,161.1","8.5","1,198.3","7.5","","3","","","",""
"","","","","","","","","","","14.5"
"Interest Expenses","734.0","5.4","649.3","4.1","","","","13.2","",""
"","","","","","","","","","","15"
"","","","","","","","","","","11.4"
"Non-Interest Income","141.9","1.0","166.6","1.0","Per cent","2","","","10.3","Per cent"
"","","","","","","","2.0","","",""
"Foreign Exchange Income","31.5","0.2","46.4","0.3","","","","1.8","",""
"","","","","","","","","","","10
1.6"
"","","","","","","","","","1.4","1.4"
"Non-Interest Expenses","252.4","1.9","299.8","1.9","","","","","",""
"","","","","","","1","1.4","","",""
"","","","","","","","","","","1.2 
5"
"Staff Cost","128.0","0.9","148.4","0.9","","","","1.1","",""
"","","","","","","","","","0.9","1.0"
"Loan Loss Provisions","83.5","0.6","91.3","0.6","","","","","",""
"","","","","","","0","","","","0"
"Profit Before Tax (after VAT)","189.7","1.4","258.7","1.6","","","","","",""
"","","","","","","","2017","2018","2019","2020
2021"
"Profit After Tax","135.8","1.0","198.4","1.2","","","Interest Margin","","","Return on Assets (After Tax)"
"(a) Revised","","Source: Central Bank of Sri Lanka","","","","","","Return on Assets  (Before Tax)","","Return on Equity (Right Axis)"
"(b) Provisional","","","","","","","","","","Source: Central Bank of Sri Lanka"
