"","2021","2020","","",""
"","","","","2021","2020"
"","Rs. 000","Rs. 000","","Rs. 000","Rs. 000"
"","","","Purchase of  Sri Lanka Government","",""
"Reported Profit from Operating","","","","",""
"","","","Securities","1,218,291,655","581,555,020"
"","158,162,666","63,432,761","","",""
"Activities","","","","",""
"","","","Interest Received – Local Currency –","(43,061,965)","(17,365,458)"
"Add/(Less) : Non-Cash Items","","","Sri Lanka Government Securities","",""
"Depreciation & Amortization","526,675","452,353","Decrease in Advances to GOSL","(2,933,100)","(83,547,071)"
"Interest Receivable – Local Currency","","","","",""
"","(64,504,574)","(22,657,914)","","",""
"– Investment Portfolio","","","(Increase)/Decrease in Balances with","68,211","(960,873)"
"Net Provision for Defined Employee","","","Government and Government Entities","",""
"","2,290,446","211,855","","",""
"Benefit Plans","","","","",""
"","","","","1,172,364,801","479,681,618"
"Gross Unrealised Foreign Exchange Gain","(43,638,970)","(16,414,833)","","",""
"Loss/(Profit) on Sale of Property, Plant","","","","",""
"","669,924","(5)","","",""
"and Equipment","","","","",""
"","","","","46.  NET ISSUES/(WITHDRAWALS) OF CIRCULATION",""
"Provisions and Accruals","3,144,366","1,862,265","","",""
"","","","","CURRENCY ON BANK AND FINANCIAL",""
"Expected Credit Loss Provision on","","","","",""
"","(1,473,999)","2,272,478","INSTITUTIONS TRANSACTIONS","",""
"Financial Assets","","","","",""
"Deferred Grants","389","785","","",""
"","","","","2021","2020"
"Gains on Revaluation","-","(142,390)","","Rs. 000","Rs. 000"
