"recovery 
based 
tariff 
adjustment.  Accordingly,","","","","",""
"","","","","Growth Rate (%)",""
"","","end","end","",""
"","Item","","","",""
"","","2021 (a)","2022 (b)","",""
"","","","","",""
"electricity tariffs were revised again, with effect from","","","","2021 (a) 2022 (b)",""
"","A
verage Cost of CEB (Rs./kWh)","9.61","20.35","-7.1","111.8"
"15  February  2023,  on  an  average  of  66  per  cent.","","","","",""
"","Hydro","1.72","1.80","-26.2","4.7"
"","","","","",""
"Under 
this 
tariff  revision,  both 
fixed  and  energy","Fuel Oil","32.03","67.69","10.4","111.3"
"","Coal","12.43","27.32","14.4","119.8"
"rates were substantially increased for the domestic","","","","",""
"","Average Cost of Private Sector (Rs./kWh)","21.67","32.04","-5.5","47.9"
"consumer  category  with 
the  consumption 
range","Fuel Oil","30.35","69.65","10.2","129.5"
"","NCRE","16.22","14.98","-14.6","-7.6"
"of  0-90  units  per  month,  which  accounts  for  over","","","","",""
"","Overall Average Cost (Rs./kWh)","","","",""
"75  per  cent  of  domestic  household  consumers.","Generation Point","12.38","23.01","-11.5","85.9"
"","Selling Point","19.42","33.65","-10.4","73.3"
"Accordingly, the unit price of electricity was revised","","","","",""
"","Average Tariff (Rs./kWh)","16.35","21.25","-2.2","30.0"
"upwards for consumer categories below the monthly","","","","",""
"","Domestic","14.91","19.11","0.3","28.2"
"","General Purpose","23.42","27.36","-2.0","16.8"
"consumption of 90 units, ranging from 160 per cent","","","","",""
"","Government","18.25","23.84","1.1","30.6"
"","","","","",""
"to 275 per cent. Further, as per the usage wise block","Industrial","14.70","20.63","-0.9","40.3"
"","Hotel","17.79","21.39","-1.9","20.2"
"classification, prices of one unit of electricity on other","(a) Revised","","Source: Ceylon Electricity Board","",""
