"","","","","","","ECONOMIC AND SOCIAL INFRASTRUCTURE","",""
"","Table 3.1","","","","","October 2021 with the primary aim of establishing","",""
"","Petroleum Sector Performance","","","","","","",""
"","","","","","","an independent, efficient and transparent upstream","",""
"","","","Growth Rate (%)","","","","",""
"Item","2020 (a)","2021 (b)","","","legislative","framework,","thereby  creating  a  clear",""
"","","","2020 (a) 2021 (b)","","","","",""
"Q","","","","","","national  upstream  policy  and  a","regulatory  and",""
"uantity Imported (mt ‘000)","","","","","","","",""
"Crude Oil","1,667","1,182","-9.5","-29.1","","","",""
"","","","","","operational","framework","to  oversee  and  manage",""
"Refined Products","4,028","4,553","-15.0","13.0","","","",""
"Coal","2,600","2,206","8.8","-15.1","","","",""
"","","","","","petroleum","resources","and 
related 
operations.",""
"L.P. Gas","437","422","1.7","-3.3","","","",""
"Domestic L.P. Gas Production (mt ‘000)","25","17","-6.4","-34.1","Following","the  enactment  of","the  new  Petroleum",""
"Value of Imports (CIF)","","","","","","","",""
"","","","","","Resources","Act, 
the","Petroleum 
Development",""
"Crude Oil             (Rs. million)","107,665","123,865","-38.0","15.0","","","",""
"","","","","","","","",""
"(US$ million)","583","625","-39.9","7.2","","Authority of Sri Lanka (PDASL) was established in","",""
"Refined Products   (Rs. million)","321,818","564,681","-33.4","75.5","","","",""
"","","","","","","","",""
"(US$ million)","1,742","2,840","-35.6","63.0","","October 2021 as an independent regulator in lieu of","",""
"Coal                   (Rs. million)","40,194","55,118","3.8","37.1","","","",""
"(US$ million)","217","278","1.3","27.8","","the Petroleum Resources Development Secretariat","",""
"L.P. Gas              (Rs. million)","43,812","64,436","1.5","47.1","","","",""
"(US$ million)","236","324","-2.2","37.2","","(PRDS).  Further,  in  line  with  international  block","",""
"Average Price of Crude Oil (CIF)","","","","","","","",""
"(Rs./bbl)","8,415","13,645","-31.6","62.2","","demarcation  processes  and","current 
trends,  a",""
"(US$/bbl)","45.57","68.86","-33.8","51.1","","","",""
"","","","","","","new  offshore  hydrocarbon  exploration  block  map","","3"
"Quantity of Petroleum Exports (mt '000)","798","853","-18.9","7.0","","","",""
"","","","","","","","",""
"Value of Petroleum Exports  (Rs. million)","68,849","100,975","-26.1","46.7","","comprising 871 small blocks and three large blocks","",""
"(US$ million)","374","506","-28.3","35.6","","","",""
"Local Sales - Refined Products (mt ‘000)","4,600","4,246","-16.8","-7.7","","covering the Mannar, Cauvery and Lanka Basins,","",""
"o/w  Petrol (92 Octane) (c)","1,139","1,238","-10.2","8.7","","","",""
"Petrol (95 Octane)","120","116","-23.6","-3.5","","was  devised  and  gazetted  in  July  2021.    Further,","",""
"Auto Diesel (d)","1,750","1,875","-18.2","7.1","","","",""
"Super Diesel","69","75","-18.8","8.2","","in  line  with  the  National  Policy  on  Natural  Gas,","",""
"Kerosene","176","188","-14.8","7.2","","","",""
"Furnace Oil","971","513","-4.0","-47.2","","which was gazetted in 2020, initial work relating to","",""
"Avtur","189","224","-60.2","18.6","","","",""
"","","","","","","the drafting of the Gas Utilisation Master Plan was","",""
"Naphtha","165","11","1.7","-93.5","","","",""
"Local Sales - L.P. Gas (mt ’000)","473","457","1.5","-3.3","","","",""
"","","","","","","underway began in 2021 and it is expected to be","",""
"Local Price (End Period) (Rs./litre)","","","","","","","",""
"","","","","","","","",""
"Petrol (92 Octane)","137.00","177.00","-","29.2","","launched during early 2022 by the PDASL.","",""
"Petrol (95 Octane)","161.00","207.00","-","28.6","","","",""
"Auto Diesel","104.00","121.00","-","16.3","","","",""
"Super Diesel","132.00","159.00","-","20.5","","","",""
"Kerosene","70.00","87.00","-","24.3","Electricity","","",""
"Furnace Oil","","","","","","","",""
"800 Seconds","70.00","110.00","-27.1","57.14","","","",""
"1,500 Seconds","70.00","110.00","-27.1","57.14","","Electricity  demand  continued  to  expand  in","",""
"L.P. Gas (Rs./kg)","","","","","","","",""
"Litro Gas","119.44","214.00","-","79.2","","line  with  the  recovery  in  economic  activity  in","",""
"Laugfs Gas","119.44","227.20","-","90.2","","","",""
"","","","","","","2021.  During  the  year,  electricity  generation  grew","",""
"International Crude Oil Prices (US$/bbl)","","","","","","","",""
"Brent","43.35","70.80","-32.3","63.3","","by  6.4  per  cent    to  16,716  GWh,  compared  to  the","",""
"WTI","39.78","67.94","-30.2","70.8","","","",""
"","","","","","","previous  year,  with  increased  share  of  hydropower","",""
"Petroleum and Other Liquids","","","","","","","",""
"World Supply (million barrels per day)","93.9","95.6","-6.4","1.8","generation.  Water","levels","in 
reservoirs 
remained",""
"World Demand (million barrels per day)","92.0","97.5","-8.6","6.0","","","",""
"","","","","","","above 60 per cent throughout the year owing to heavy","",""
"(a) Revised","","Sources: Ceylon Petroleum Corporation","","","","","",""
"(b) Provisional","","Lanka IOC PLC","","","","","",""
"","","","","","rainfall","in  catchment  areas,","thereby  contributing",""
"(c) Including XtraPremium Euro 3","","Lanka Marine Services (Pvt) Ltd","","","","","",""
"(d) Including XtraMile Diesel","","Litro Gas Lanka Ltd","","","","","",""
"","","Laugfs Gas PLC","","","","to  the  increased  reliance  on  low-cost  hydropower","",""
