"","","","","","","","","","","","","","","Rs. million"
"","","","","","Broad Money (M4)","","","","","","","","Net Foreign Assets",""
"","","","","","","Time and Savings Deposits (c)","","","","","","","",""
"","","","","","","","","","","Broad","","Commercial","","Total Net"
"","","","","Commercial Banks","","","LSBs (d)","","Time and","","","","",""
"","End","","Demand","","","","","","","Money","Monetary","Banks","","Foreign"
"","","Currency","","","","RDB/","","","Savings","","","","LSBs and",""
"","of","","Deposits","","","","","","","Supply","Authorities","(DBUs and","","Assets"
"","","(b)","","DBUs","","Pradeshiya","","LFCs","Deposits","","","","LFCs",""
"","Period","","(b)","","","","","","","","","","",""
"","","","","","OBUs","","Other","","","(M4)","(e)","OBUs)","","(10)+(11)"
"","","","","(b)","","Sanwardhana","","","(3)+(4)","","","","",""
"","","","","","","","","","","(1)+(2)+(8)","","","","+(12)"
"","","","","","","Bank","","","+(5)+(6)+(7)","","","","",""
"","","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)","(11)","(12)","(13)"
"2017","","430,905","296,118","5,191,405","216,198","136,582","837,991","686,720","7,068,897","7,795,919","846,139","-724,601","-155,708","-34,170"
"2018","","463,512","296,275","5,965,178","226,386","137,928","946,684","693,625","7,969,801","8,729,588","750,541","-817,548","-66,658","-133,665"
"2019","","485,061","315,263","6,398,509","240,737","145,977","1,131,552","727,425","8,644,201","9,444,525","895,997","-795,296","-11,941","88,761"
"2020","","629,924","457,952","7,780,547","317,416","169,265","1,384,355","722,421","10,374,005","11,461,881","526,779","-736,247","-7,641","-217,109"
"2021","","769,804","637,865","8,784,223","268,538","184,392","1,578,241","762,291","11,577,685","12,985,353","-387,263","-594,713","-16,645","-998,621"
"2020","January","481,699","315,959","6,502,679","228,164","147,543","1,159,091","737,764","8,775,241","9,572,899","925,923","-836,450","-13,397","76,076"
"","February","493,672","309,650","6,572,589","234,642","149,245","1,172,524","743,749","8,872,749","9,676,071","970,984","-873,601","-13,426","83,958"
"","March","558,177","338,459","6,746,336","264,575","148,940","1,181,590","735,152","9,076,594","9,973,230","943,529","-915,410","-13,973","14,146"
"","April","588,975","337,436","6,861,720","286,690","150,971","1,206,252","728,300","9,233,934","10,160,344","949,121","-865,628","-10,975","72,518"
"","May","589,353","333,227","6,911,467","276,349","151,840","1,215,319","721,834","9,276,809","10,199,389","817,817","-866,658","-10,668","-59,509"
"","June","569,096","353,413","6,973,478","264,678","154,783","1,242,909","703,166","9,339,014","10,261,523","824,638","-836,343","-10,681","-22,385"
"","July","582,584","362,617","7,072,946","278,749","158,212","1,275,554","701,236","9,486,698","10,431,900","785,202","-834,100","-10,656","-59,555"
"","August","584,880","393,536","7,205,318","292,513","160,340","1,292,178","708,851","9,659,201","10,637,616","822,435","-842,007","-10,702","-30,275"
"","September","586,210","396,752","7,382,181","292,358","163,045","1,315,687","724,042","9,877,313","10,860,274","758,552","-824,438","-10,644","-76,530"
"","October","603,733","417,801","7,505,014","291,324","164,850","1,341,025","724,915","10,027,128","11,048,662","574,153","-820,731","-7,529","-254,107"
"","November","607,338","417,131","7,614,480","296,683","167,223","1,365,088","726,155","10,169,629","11,194,098","540,147","-821,350","-7,583","-288,786"
"","December","629,924","457,952","7,780,547","317,416","169,265","1,384,355","722,421","10,374,005","11,461,881","526,779","-736,247","-7,641","-217,109"
"2021","January","634,067","471,777","7,901,421","322,467","171,115","1,416,737","725,726","10,537,466","11,643,310","417,927","-739,010","-7,871","-328,953"
"","February","645,898","477,847","8,011,884","310,682","171,509","1,439,005","733,531","10,666,612","11,790,357","393,859","-779,556","-14,751","-400,448"
"","March","658,828","504,968","8,160,210","322,650","172,959","1,454,812","735,364","10,845,996","12,009,792","341,034","-770,984","-15,151","-445,101"
"","April","672,425","511,959","8,255,871","319,514","175,199","1,476,893","742,241","10,969,718","12,154,101","342,923","-773,612","-11,719","-442,409"
"","May","681,127","503,205","8,334,215","332,525","175,163","1,499,433","739,052","11,080,388","12,264,719","349,094","-777,988","-11,880","-440,774"
"","June","685,554","532,394","8,438,844","321,763","175,195","1,508,075","739,735","11,183,612","12,401,560","306,556","-787,901","-11,875","-493,221"
"","July","695,662","545,109","8,564,569","316,718","176,220","1,518,601","746,509","11,322,616","12,563,387","10,254","-709,628","-11,906","-711,279"
"","August","739,530","551,538","8,704,018","332,445","176,859","1,541,058","744,476","11,498,856","12,789,924","-83,881","-617,074","-11,993","-712,947"
"","September","749,267","486,274","8,741,961","303,156","178,084","1,545,358","737,880","11,506,439","12,741,979","-158,710","-563,425","-11,937","-734,072"
"","October","741,026","579,975","8,785,791","298,936","180,384","1,551,001","736,328","11,552,440","12,873,441","-252,574","-583,988","-16,635","-853,197"
"","November","720,000","566,620","8,767,953","297,893","181,699","1,571,669","756,186","11,575,400","12,862,019","-329,911","-576,436","-16,640","-922,987"
"","December","769,804","637,865","8,784,223","268,538","184,392","1,578,241","762,291","11,577,685","12,985,353","-387,263","-594,713","-16,645","-998,621"
"","(a)  M4 is based on the aggregated data pertaining to Licensed Specialised Banks (LSBs) and Licensed Finance Companies (LFCs), in addition to the institutions covered in M2b","","","","","","","","","","","","","(Contd.)"
"","(b)  Currency, demand deposits and time and savings deposits of DBUs in this table differ from those in Table 119 due to the fact that LSBs and LFCs are not treated as ‘Public’ under the Financial Survey (M4)","","","","","","","","","","","","",""
"","definition","","","","","","","","","","","","",""
"","(c)  Time and savings deposits of the private sector with commercial banks, LSBs and LFCs","","","","","","","","","","","","",""
"","(d)   LSBs include Regional Development Banks/Pradeshiya Sanwardhana Bank (which was established on 14 July 2010 by amalgamating Regional Development Banks), National Savings Bank, State Mortgage","","","","","","","","","","","","",""
"","and Investment Bank, Sanasa Development Bank Ltd, HDFC Bank of Sri Lanka and Sri Lanka Savings Bank Ltd. MBSL Savings Bank Ltd, which operated as a LSB, was amalgamated with Merchant Bank Sri","","","","","","","","","","","","",""
"","Lanka PLC and MCSL Financial Services Ltd and operates as a LFC namely, Merchant Bank of Sri Lanka and Finance PLC w.e.f 1 January 2015. DFCC Bank which operated as a Licensed Specialised Bank","","","","","","","","","","","","",""
"","was amalgamated with the DFCC Vardhana Bank and operates as a Licensed Commercial Bank namely, DFCC Bank PLC with effect from 1 October 2015. Lankaputhra Development Bank Ltd, which","","","","","","","","","","","","",""
"","operated as a LSB, was amalgamated with Regional Development Bank/Pradeshiya Sanwardhana Bank with effect from 1 April 2019.","","","","","","","","","","","","",""
