"","","","","","","","and Foreign Exchange Forward Contracts that were"
"","and Cash Equivalents","","","","","",""
"","","","","","","","used 
for 
the  purpose  of  managing  market  and"
"","","2022","","","2021","",""
"","","","","","","","liquidity  risks  in  foreign  reserves  held  by  the  Bank"
"","Stage 1","Stage 2","Total","Stage 1","Stage 2","Total",""
"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","in line with the statutory objectives of maintenance"
"Balance as at 1","","","","","","","of  foreign  reserves.  The  Bank  entered  into  swap"
"","52,009","33,359","85,368","90,277","180,061","270,338",""
"January","","","","","","",""
"Charge/ (Reversal)","","","","","","","transactions  and  forward  contracts  with  Licensed"
"","789,431","(29,967)","759,464","(38,268)","(146,702)","(184,970)",""
"during the year","","","","","","",""
"","","","","","","","Banks,  Foreign  Central  Banks,  Foreign  Banks"
"Balance as at 31","","","","","","",""
"","841,440","3,392","844,832","52,009","33,359","85,368",""
"December","","","","","","","and  Financial 
Institutions 
in  order 
to  maintain"
"","","","","","","","international 
stability  of 
the  Sri 
Lankan 
rupee,"
