"Major Legislative Enactments of 2021","","Part IV"
"Head   320 
Department of Civil Security","",""
"Programme 01 
Operational Activities","18,154,450,000","177,500,000"
"Head   325 
Department of Sri Lanka Coast Guard","",""
"Programme 01 
Operational Activities","67,700,000","451,000,000"
"Head   334 
Department of Multi-purpose Development Task Force","",""
"Programme 01 
Operational Activities","18,295,850,000","85,000,000"
"State Ministry of  Home Affairs","",""
"Recurrent 
33,646,000,000","",""
"Capital 
88,775,000,000","",""
"Made up as follows :-","",""
"Head   409 
State Minister of Home Affairs","",""
"Programme 01 
Operational Activities","10,487,000,000","136,000,000"
"Programme 02  
Development Activities","-","1,740,000,000"
"Head   255 
District Secretariat, Colombo","",""
"Programme 01 
Operational Activities","1,032,000,000","5,072,000,000"
"Head   256 
District Secretariat, Gampaha","",""
"Programme 01 
Operational Activities","1,304,000,000","7,747,000,000"
"Head   257 
District Secretariat, Kalutara","",""
"Programme 01 
Operational Activities","1,171,000,000","4,606,000,000"
"Head   258 
District Secretariat, Kandy","",""
"Programme 01 
Operational Activities","1,531,000,000","6,674,000,000"
"Head   259 
District Secretariat, Matale","",""
"Programme 01 
Operational Activities","798,000,000","3, 008,000,000"
"Head   260 
District Secretariat, Nuwara-Eliya","",""
"Programme 01 
Operational Activities","571,000,000","2,959,000,000"
"Head   261 
District Secretariat, Galle","",""
"Programme 01 
Operational Activities","1,463,000,000","5,102,000,000"
"Head   262 
District Secretariat, Matara","",""
"Programme 01 
Operational Activities","1,244,000,000","3,779,000,000"
"Head   263 
District Secretariat, Hambantota","",""
"Programme 01 
Operational Activities","925,000,000","3,318,000,000"
"Head   264 
District Secretariat/ Kachcheri - Jaffna","",""
"Programme 01 
Operational Activities","1,099,000,000","2,616,000,000"
"Head   265 
District Secretariat/ Kachcheri - Mannar","",""
"Programme 01 
Operational Activities","304,000,000","839,000,000"
"Head   266 
District Secretariat/ Kachcheri - Vavuniya","",""
"Programme 01 
Operational Activities","295,000,000","758,000,000"
"Head   267 
District Secretariat/ Kachcheri - Mullaitivu","",""
"Programme 01 
Operational Activities","341,000,000","730,000,000"
"Head   268 
District Secretariat/ Kachcheri - Killinochchi","",""
"Programme 01 
Operational Activities","324,000,000","574,000,000"
"Head   269 
District Secretariat/ Kachcheri - Batticaloa","",""
"Programme 01 
Operational Activities","866,000,000","2,218,000,000"
"Head   270 
District Secretariat, Ampara","",""
"Programme 01 
Operational Activities","1,117,000,000","3,325,000,000"
"Head   271 
District Secretariat/ Kachcheri - Trincomalee","",""
"Programme 01 
Operational Activities","570,000,000","1,614,000,000"
"Head   272 
District Secretariat, Kurunegala","",""
"Programme 01 
Operational Activities","2,133,000,000","8,392,000,000"
"Head   273 
District Secretariat, Puttalam","",""
"Programme 01 
Operational Activities","848,000,000","3,302,000,000"
"Head   274 
District Secretariat, Anuradhapura","",""
"Programme 01 
Operational Activities","1,057,000,000","4,266,000,000"
"Head   275 
District Secretariat - Polonnaruwa","",""
"Programme 01 
Operational Activities","556,000,000","1,875,000,000"
"Head   276 
District Secretariat - Badulla","",""
"Programme 01 
Operational Activities","907,000,000","3,799,000,000"
"Head   277 
District Secretariat, Monaragala","",""
