"Major Legislative Enactments of 2021","","Part IV"
"Made up as follows :-","",""
"Head   166 
Minister of Water Supply","",""
"Programme 01 
Operational Activities","363,475,000","31,500,000"
"Programme 02  
Development Activities","-","47,119,000,000"
"","State Ministry of  Rural and Divisional Drinking Water Supply Projects Development",""
"Recurrent 
   327,165,000","",""
"Capital 
1,812,450,000","",""
"Made up as follows :-","",""
"Head   433 
State Minister of Rural and Divisional Drinking Water Supply","",""
"Projects Development","",""
"Programme 01 
Operational Activities","54,980,000","5,200,000"
"Programme 02  
Development Activities","-","600,000,000"
"Head   332 
Department of National Community Water Supply","",""
"Programme 01 
Operational Activities","272,185,000","1,207,250,000"
"Ministry of Development Co-ordination and Monitoring","",""
"Recurrent 
169,000,000","",""
"Capital 
  50,000,000","",""
"Made up as follows :-","",""
"Head   169 
Minister of Development Co-ordination and Monitoring","",""
"Programme 01 
Operational Activities","78,000,000","8,800,000"
"Head   280 
Department of Project Management and Monitoring","",""
"Programme 02 
Development Activities","91,000,000","41,200,000"
"Ministry of Ports and Shipping","",""
"Recurrent 
 741,150,000","",""
"Capital 
 800,000,000","",""
"Made up as follows :-","",""
"Head   176 
Minister of Ports and Shipping","",""
"Programme 01 
Operational Activities","184,450,000","3,700,000"
"Programme 02  
Development Activities","466,700,000","790,000,000"
"Head   336 
Merchant Shipping Secretariat","",""
"Programme 01 
Operational Activities","90,000,000","6,300,000"
"State Ministry of  Warehouse Facilities, Container Yards,","",""
"Port Supply Facilities and Boats and Shipping Industry Development","",""
"Recurrent 
101,150,000","",""
"Capital 
800,000,000","",""
"Made up as follows :-","",""
"Head   434 
State Minister of Warehouse Facilities, Container Yards,","",""
"Port Supply Facilities and Boats and Shipping Industry Development","",""
"Programme 01 
Operational Activities","101,150,000","3,000,000"
"Programme 02  
Development Activities","-","797,000,000"
"Ministry of Technology","",""
"Recurrent 
2,106,650,000","",""
"Capital 
2,759,900,000","",""
"Made up as follows :-","",""
"Head   186 
Minister of Technology","",""
"Programme 01 
Operational Activities","93,950,000","6,500,000"
"Programme 02  
Development Activities","680,000,000","2,430,000,000"
"Head   227 
Department of Registration of Persons","",""
"Programme 01 
Operational Activities","1,332,700,000","323,400,000"
