"","","Recurrent
11,484,125,000","",""
"","","Capital
1,177,455,000","",""
"","Made up as follows:-","","",""
"Head","1","His Excellency the President","",""
"","","Programme 01 
Operational Activities","2,309,980,000","378,820,000"
"","","Programme 02  
Development Activities","","100,000,000"
"Head","2","Office of the Prime Minister","",""
"","","Programme 01 
Operational Activities","1,172,450,000","219,500,000"
"Head","4","Judges of the Superior Courts","",""
"","","Programme 01 
Operational Activities","301,900,000","12,300,000"
"Head","5","Office of the Cabinet of Ministers","",""
"","","Programme 01 
Operational Activities","177,150,000","26,300,000"
"Head","6","Office of the Public Service Commission","",""
"","","Programme 01 
Operational Activities","256,053,000","12,000,000"
"Head","7","Judicial Service Commission","",""
"","","Programme 01 
Operational Activities","109,922,000","1,450,000"
"Head","8","National Police Commission","",""
"","","Programme 01 
Operational Activities","134,600,000","4,710,000"
"Head","9","Administrative Appeals Tribunal","",""
"","","Programme 01 
Operational Activities","31,155,000","200,000"
"Head","10","Commission to Investigate Allegations of Bribery or Corruption","",""
"","","Programme 01 
Operational Activities","534,405,000","52,500,000"
"Head","11","Office of the Finance Commission","",""
"","","Programme 01 
Operational Activities","94,616,000","4,700,000"
"Head","13","Human Rights Commission of Sri Lanka","",""
"","","Programme 01 
Operational Activities","221,264,000","2,600,000"
"Head","16","Parliament","",""
"","","Programme 01 
Operational Activities","2,931,850,000","195,200,000"
"Head","17","Office of the Leader of the House of Parliament","",""
"","","Programme 01 
Operational Activities","59,100,000","1,250,000"
"Head","18","Office of the Chief Govt. Whip of Parliament","",""
"","","Programme 01 
Operational Activities","137,100,000","1,800,000"
"Head","19","Office of the Leader of the Opposition of Parliament","",""
"","","Programme 01 
Operational Activities","154,880,000","17,800,000"
"Head","20","Election Commission","",""
"","","Programme 01 
Operational Activities","860,600,000","107,000,000"
"Head","21","National Audit Office","",""
"","","Programme 01 
Operational Activities","1,959,200,000","39,000,000"
