"Major Legislative Enactments of 2021","","","","","","Part IV"
"163 
District Secretariat/ Kachcheri-","","","","","",""
"Mannar","26501  Advances to Public Officers","15,000,000","12,000,000","65,000,000","—",""
"164 
District Secretariat/ Kachcheri-","","","","","",""
"Vavuniya","26601  Advances to Public Officers","14,000,000","13,000,000","65,000,000","—",""
"165 
District Secretariat/ Kachcheri-","","","","","",""
"Mullaitivu","26701  Advances to Public Officers","14,000,000","9,000,000","55,000,000","—",""
"166 
District Secretariat/ Kachcheri-","","","","","",""
"Killinochchi","26801  Advances to Public Officers","14,000,000","11,000,000","50,000,000","—",""
"167 
District Secretariat/ Kachcheri-","","","","","",""
"Batticaloa","26901  Advances to Public Officers","40,000,000","32,000,000    140,000,000","","—",""
"168 
District Secretariat - Ampara","27001  Advances to Public Officers","70,000,000","50,000,000    245,000,000","","—",""
"169 
District Secretariat/ Kachcheri-","","","","","",""
"Trincomalee","27101  Advances to Public Officers","35,000,000","24,000,000","140,000,000","—",""
"170 
District Secretariat, Kurunagala","27201  Advances to Public Officers","85,000,000","84,000,000","350,000,000","—",""
"171 
District Secretariat, Puttalam","27301  Advances to Public Officers","50,000,000","50,000,000","220,000,000","—",""
"172 
District Secretariat, Anuradhapura","27401  Advances to Public Officers","65,000,000","62,000,000","280,000,000","—",""
"173 
District Secretariat, Polonnaruwa","27501  Advances to Public Officers","30,000,000","25,000,000","120,000,000","—",""
"174 
District Secretariat, Badulla","27601  Advances to Public Officers","60,000,000","46,000,000","220,000,000","—",""
"175 
District Secretariat, Monaragala","27701  Advances to Public Officers","35,000,000","30,000,000","140,000,000","—",""
"176 
District Secretariat, Ratnapura","27801  Advances to Public Officers","60,000,000","47,000,000","285,000,000","—",""
"177 
District Secretariat, Kegalle","27901  Advances to Public Officers","50,000,000","46,000,000","200,000,000","—",""
"178 
Departament of Project","","","","","",""
"Management and Supervision","28001  Advances to Public Officers","4,000,000","3,000,000","20,000,000","—",""
"179 
Department of Agrarian","","","","","",""
"Development","28101  Advances to Public Officers","","350,000,000    280,000,000","500,000,000","—",""
"180 
Department of Irrigation","28201  Advances to Public Officers","230,000,000","165,000,000","800,000,000","—",""
"181 
Department of Forest","","","","","",""
"Conservation","28301  Advances to Public Officers","60,000,000","45,000,000","316,000,000","—",""
"182 
Department of Wildlife","","","","","",""
"Conservation","28401  Advances to Public Officers","50,000,000","45,000,000","270,000,000","—",""
"183 
Department of Agriculture","28501  Advances to Public Officers","250,000,000","200,000,000  1,000,000,000","","—",""
"184 
Department of Agriculture","28502  Maintenance of Agricultural","","","","",""
"","Farms and Seed Sales","660,000,000","660,000,000","70,000,000","—",""
"185 
Department of Land Commissioner","","","","","",""
"General","28601  Advances to Public Officers","20,000,000","14,000,000","90,000,000","—",""
"186 
Department of Land Title","","","","","",""
"Settlement","28701  Advances to Public Officers","15,000,000","15,000,000","70,000,000","—",""
"187 
Department of Surveyor General","","","","","",""
"of Sri Lanka","28801  Advances to Public Officers","","130,000,000    130,000,000","420,000,000","—",""
"188 
Department of Export Agriculture","28901  Advances to Public Officers","40,000,000","35,000,000","140,000,000","—",""
"189 
Department of Fisheries and","","","","","",""
"Aquatic Resources","29001  Advances to Public Officers","20,000,000","18,000,000","110,000,000","—",""
"190 
Department of Coast Conservation","","","","","",""
"and Coastal Resource Management","29101  Advances to Public Officers","12,000,000","8,000,000","45,000,000","—",""
"191 
Department of Animal Production","","","","","",""
"and Health","29201  Advances to Public Officers","35,000,000","24,000,000","130,000,000","—",""
"192 
Department of Rubber","","","","","",""
"Development","29301  Advances to Public Officers","20,000,000","18,000,000","65,000,000","—",""
"193 
Department of National Zoological","","","","","",""
"Gardens","29401  Advances to Public Officers","30,000,000","15,000,000","105,000,000","—",""
"194 
Department of Commerce","29501  Advances to Public Officers","5,000,000","2,500,000","22,000,000","—",""
"195 
Department of Import and Export","","","","","",""
"Control","29601  Advances to Public Officers","4,000,000","2,500,000","25,000,000","—",""
"196 
Department of the Registrar of","","","","","",""
"Companies","29701  Advances to Public Officers","7,000,000","5,000,000","35,000,000","—",""
"197 
Department of Measurement Units,","","","","","",""
"Standards and Services","29801  Advances to Public Officers","6,000,000","4,000,000","30,000,000","—",""
"198 
National Intellectual Property","","","","","",""
"Office of Sri Lanka","29901  Advances to Public Officers","5,000,000","3,000,000","17,000,000","—",""
"199 
Department of Food Commissioner","30001  Advances to Public Officers","5,000,000","3,000,000","30,000,000","—",""
"200 
Department of Co-operative","","","","","",""
"Development (Registrar of","","","","","",""
"Co-operative Societies)","30101  Advances to Public Officers","5,000,000","3,000,000","30,000,000","—",""
"201 
Co-operative Employees","","","","","",""
"Commission","30201  Advances to Public Officers","2,000,000","600,000","7,000,000","—",""
"202 
Department of Textile Industries","30301  Advances to Public Officers","5,000,000","3,000,000","25,000,000","—",""
"203 
Department of Meteorology","30401  Advances to Public Officers","10,000,000","8,600,000","55,000,000","—",""
"204 
Department of Sri Lanka Railways","30601  Advances to Public Officers","500,000,000","450,000,000  1,500,000,000","","—",""
"205 
Department of Sri Lanka","","","","","",""
"Railways","30602  Railway Stores Advance","","","","",""
"","Account","","2,500,000,000      2,000,000,000   8,200,000,000","","1,500,000,000",""
"206 
Department of Motor Traffic","30701  Advances to Public Officers","26,000,000","25,000,000","150,000,000","—",""
"207 
Department of Posts","30801  Advances to Public Officers","800,000,000","704,000,000   2,200,000,000","","—",""
"208 
Department of Buildings","30901  Advances to Public Officers","25,000,000","17,000,000","95,000,000","—",""
"209 
Department of Government","","","","","",""
"Factories","31001  Advances to Public Officers","28,000,000","18,000,000","125,000,000","—",""
"210 
Department of Government","","","","","",""
"Factories","31002  Government Factory Stores","","","","",""
