"End of Period","Liabilities","","","","","","","","","","","","","",""
"","Paid up 
Capital,
Reserve
Funds and
Undistributed
Profits","Demand Deposits","","","","","Time and Savings Deposits","","","Total Deposits","","","Borrowings","","Other
Liabilities"
"","","Interbank","","Government 
of
Sri Lanka","Residents","Non
 Residents","Government
of
Sri Lanka","Residents","Non
 Residents","Demand","Time
and
Savings","Total","Domestic
Interbank
(d)","Foreign",""
"","","Domestic","Foreign","","","","","","","","","","","",""
"2015 (c)
2016
2017
2018
2019
2018
January
February
March
 
April
May
June
July
August
September
October
November
December
2019
January
February
March
 
April
May
June
July
August
September
October
November
December","608,898 
716,963 
850,931 
1,002,594 
1,126,850 
859,464 
863,504 
874,835 
898,398 
905,111 
911,661 
929,698 
940,244 
951,843 
978,122 
985,333 
1,002,594 
1,010,023 
1,012,774 
1,016,288 
1,024,130 
1,038,449 
1,058,815 
1,069,293 
1,076,041 
1,093,592 
1,099,651 
1,115,787 
1,126,850","857 
161 
478 
635 
495 
376 
316 
384 
405 
814 
612 
665 
406 
1,304 
610 
799 
635 
689 
499 
507 
478 
376 
426 
907 
437 
388 
245 
252 
495","8,683 
8,761 
15,715 
21,861 
16,544 
16,845 
16,021 
18,479 
17,943 
17,483 
19,632 
16,661 
17,601 
17,023 
18,329 
17,368 
21,861 
16,569 
17,377 
12,728 
16,601 
17,247 
16,694 
12,508 
16,611 
15,572 
17,893 
17,470 
16,544","44,182 
41,661 
46,843 
45,295 
43,876 
39,408 
35,562 
35,679 
37,127 
37,069 
34,836 
36,276 
35,366 
33,923 
36,129 
37,766 
45,295 
38,902 
37,971 
34,083 
36,197 
33,541 
33,055 
33,309 
32,583 
33,253 
35,207 
35,295 
43,876","326,926 
347,005 
353,876 
331,457 
350,309 
342,427 
347,791 
342,151 
357,463 
364,471 
344,662 
343,987 
341,821","8,645 
7,563 
8,910 
357,680  36,075 
371,203  10,287 
342,404  10,034 
9,683 
377,310  10,307 
9,822 
9,132 
9,512 
338,658  32,799 
329,648  33,554 
347,819  34,015 
335,276  35,279 
337,347  34,566 
357,680  36,075 
9,094 
340,176  10,722 
9,448 
9,869 
349,788  11,995 
348,573  12,920 
9,484 
347,880  10,137 
376,163  10,050 
9,209 
9,362 
371,203  10,287","29,150 
16,419 
27,973 
75,433 
71,846 
30,310 
30,428 
29,259 
34,598 
39,160 
61,862 
69,978 
69,038 
67,612 
69,405 
78,212 
75,433 
90,174 
86,418 
80,518 
76,507 
75,512 
79,251 
70,903 
72,084 
71,866 
71,593 
83,558 
71,846","3,342,224 
4,046,935 
4,872,014 
5,596,536 
6,047,243 
4,965,598 
5,055,851 
5,154,309 
5,231,163 
5,256,758 
5,316,337 
5,368,996 
5,452,165 
5,475,463 
5,543,311 
5,566,497 
5,596,536 
5,618,644 
5,664,414 
5,696,474 
5,757,202 
5,819,171 
5,857,906 
5,898,698 
5,915,615 
5,918,193 
5,933,129 
5,972,746 
6,047,243","529,750 
609,584 
666,884 
760,696 
782,939 
653,345 
642,175 
648,462 
654,256 
648,390 
652,855 
672,660 
669,814 
702,154 
714,260 
744,281 
760,696 
767,231 
776,471 
765,706 
768,999 
738,713 
738,375 
729,070 
732,012 
744,481 
773,891 
775,789 
782,939","389,293 
405,152 
425,822 
461,547 
442,407 
409,067 
393,038 
442,159 
415,605 
406,925 
412,383 
425,060 
416,574 
434,084 
425,623 
427,846 
461,547 
407,405 
406,746 
414,230 
427,617 
412,948 
411,668 
400,869 
407,648 
435,427 
406,541 
404,199 
442,407","3,901,124 
4,672,937 
5,566,871 
6,432,666 
6,902,028 
5,649,253 
5,728,454 
5,832,029 
5,920,018 
5,944,308 
6,031,053 
6,111,634 
6,191,018 
6,245,229 
6,326,977 
6,388,990 
6,432,666 
6,476,049 
6,527,303 
6,542,698 
6,602,707 
6,633,397 
6,675,533 
6,698,671 
6,719,711 
6,734,540 
6,778,612 
6,832,093 
6,902,028","4,290,417 
5,078,090 
5,992,693 
6,894,213 
7,344,434 
6,058,320 
6,121,492 
6,274,188 
6,335,623 
6,351,233 
6,443,436 
6,536,694 
6,607,591 
6,679,313 
6,752,600 
6,816,836 
6,894,213 
6,883,455 
6,934,049 
6,956,928 
7,030,324 
7,046,344 
7,087,200 
7,099,540 
7,127,359 
7,169,967 
7,185,153 
7,236,292 
7,344,434","182,212 
206,131 
254,942 
268,771 
294,479 
241,465 
254,923 
252,022 
235,452 
259,513 
248,075 
252,682 
253,771 
278,896 
247,340 
257,438 
268,771 
273,001 
282,146 
283,179 
290,723 
289,359 
298,945 
311,551 
302,936 
287,769 
292,704 
295,209 
294,479","195,717 
212,374 
162,385 
173,813 
187,305 
164,157 
158,843 
173,567 
166,966 
164,681 
159,917 
172,233 
161,778 
177,997 
159,421 
161,948 
173,813 
169,823 
175,355 
182,023 
165,327 
165,200 
169,719 
204,843 
204,200 
187,082 
174,824 
186,098 
187,305","421,277 
469,025 
563,888 
706,274 
788,030 
585,862 
607,519 
619,717 
614,385 
621,872 
623,905 
628,894 
631,426 
662,218 
692,110 
693,515 
706,274 
718,752 
726,796 
748,853 
722,566 
714,073 
741,902 
754,615 
750,589 
777,482 
774,477 
791,480 
788,030"
