"","","","","Table 5.10","","","",""
"5.5 Overall Balance","","","","","","","",""
"","","","","International Investment Position","","","",""
"","","","","","","","US$ million",""
"","The  overall  balance,  which  is  equal  to  the","","","","","(End period position)","",""
"","","","","2019 (a)","","2020 (b)","",""
"","","","Item","","","","",""
"","","","","","","","",""
"","change in net international reserves, recorded","","","Assets","Liabilities","Assets","Liabilities",""
"","","","Direct Investment (c)","1,497","13,065","1,509","13,832",""
"","a deficit in 2020 following the surplus recorded","","Equity and investment fund shares","1,466","8,287","1,473","8,831",""
"","","","Debt instruments","31","4,778","36","5,001",""
"","in 2019. The moderation of inflows to the financial","","","","","","",""
"","","","Portfolio Investment","...","15,855","...","8,420",""
"","","","Equity and investment fund shares","","1,049","","708",""
"","account during the year and the significant external","","","","","","",""
"","","","Other sectors","","1,049","","708",""
"","","","Debt securities (d)","...","14,806","...","7,712",""
"debt 
service  payments","resulted","in  a  notable","","","","","",""
"","","","Deposit-taking corporations","...","","...","",""
"","","","Short term","...","","...","",""
"","reduction in gross official reserves during the year.","","General government","","14,632","","7,616",""
"","","","Short term","","119","","4",""
"","Net international reserves also recorded a notable","","Long term","","14,513","","7,613",""
"","","","Other sectors","","174","","96",""
"","decline, resulting in the overall balance recording a","","Long term","","174","","96",""
"","","","Financial Derivatives","-","-","-","-",""
"","deficit of US dollars 2,328 million in 2020.","","","","","","",""
"","","","Other Investment","3,846","35,227","3,710","36,499",""
"","","","Currency and Deposits","771","1,748","835","1,734",""
"","","","Central Bank","","...","","400",""
"","","","","","","","",""
"5.6 International Investment","","","Short term
Long term","","...
 -","","...
 400",""
"","","","Deposit-taking corporations","771","1,748","835","1,333",""
"Position","","","Short term","363","1,748","622","1,333",""
"","","","Long term","408","","214","",""
"Sri  Lanka’s  net","International","Investment","Loans","","30,320","","31,512",""
"","","","Central Bank","","1,315","","1,378",""
"","Position  (IIP),  which  is  the  difference  between","","Credit and loans with the IMF","","1,315","","1,378",""
"","","","Deposit-taking corporations","","5,249","","5,324",""
"","","","","","","","",""
"","the  total  external  asset  and  liability  positions","","Short term","","3,771","","4,174",""
"","","","Long term","","1,478","","1,150",""
"","","","","","","","",""
"held  with  non-residents,","improved","in  2020.","General government","","19,617","","20,570",""
"","","","Long term","","19,617","","20,570",""
"","","","Other sectors (e)","","4,139","","4,240",""
"","Accordingly,  the  IIP  improved  from  a  net  liability","","","","","","",""
"","","","Long term","","4,139","","4,240",""
"","position of US dollars 51.2 billion at end 2019 to a","","Trade Credit and Advances","1,178","2,156","954","2,341",""
"","","","Deposit-taking corporations","92","","101","",""
"","","","","","","","",""
"","net liability position of US dollars 47.9 billion at end","","Short term","92","","101","",""
"","","","Other sectors (f)","1,086","2,156","853","2,341",""
"","","","","","","","",""
"","2020. This was as a result of a notable reduction in","","Short term","1,086","2,156","853","2,341",""
"","","","Other Accounts Receivable/Payable","1,896","456","1,920","343","5"
"","the country’s external liability position to US dollars","","Central Bank (g)","","456","","343",""
"","","","","","","","",""
"","","","Short term","","456","","343",""
"","58.8  billion  as  at  end  2020  from  US  dollars  64.1","","Deposit-taking corporations","1,896","","1,920","",""
"","","","Short term","1,896","","1,920","",""
"","billion as at end 2019, while the country’s external","","Special Drawing Rights (SDRs)","","547","","570",""
"","","","","","","","",""
"","asset position declined to US dollars 10.9 billion as","","Reserve Assets","7,642","","5,664","",""
