"","2019","","2020 (a)","",""
"","","","","","Major Export Products"
"Preferential Agreement","Value","Value","","",""
"","","","Growth","Share","(Ordered by size of export)"
"","(US$","(US$","","",""
"","","","(%)","(%)",""
"","million)","million)","","",""
"","","","","","Garments, Rubber products, Tea, Plastics and articles thereof, Food beverages & tobacco,"
"Generalised System of Preferences (GSP)","4,020.0","3,671.8","-8.7","83.1",""
"","","","","","Seafood"
"","","","","","Garments, Rubber products, Tea, Plastics and articles thereof, Food beverages & tobacco,"
"o/w EU (including GSP+) (b)","2,766.3","2,597.9","-6.1","58.8",""
"","","","","","Seafood"
"USA","709.4","585.7","-17.4","13.2","Garments, Rubber products, Food beverages & tobacco, Spices, Chemical products"
"Russian Federation (c)","150.3","142.2","-5.4","3.2","Tea, Rubber products, Garments, Coconut non-kernel products, Chemical products"
"Turkey","85.3","80.3","-5.9","1.8","Tea, Rubber products, Chemical products, Garments, Textiles"
"Australia","89.7","79.2","-11.8","1.8","Garments, Rubber products, Food beverages & tobacco, Tea, Coconut kernel products"
"","","","","","Tea, Coconut non-kernel products, Food beverages & tobacco, Rubber products, Chemical"
"Japan","84.9","71.0","-16.4","1.6",""
"","","","","","products"
"","","","","","Rubber products, Coconut kernel / non-kernel products, Garments, Food beverages &"
"Canada","73.5","61.0","-17.0","1.4",""
"","","","","","tobacco, Tea"
"Other GSP","60.6","54.6","-9.9","1.2",""
"India-Sri Lanka Free Trade Agreement (ISFTA)","","","","","Animal fodder, Minor agricultural exports, Food beverages & tobacco, Spices, Wood and"
"","489.6","358.4","-26.8","8.1",""
"Implemented in 2000","","","","","paper products"
"Asia-Pacific Trade Agreement (APTA)","","","","",""
"","179.3","204.7","14.2","4.6","Garments, Tea, Coconut non-kernel products, Chemical products, Rubber products"
"implemented in 1975 (d)","","","","",""
"Global System of Trade Preferences (GSTP)","","","","","Spices, Base metals and articles, Coconut kernel / non-kernel products, Rubber products,"
"","80.5","89.5","11.2","2.0",""
"Implemented in 1989","","","","","Animal fodder"
"Pakistan-Sri Lanka Free Trade Agreement (PSFTA)","","","","","Minor agricultural exports, Natural rubber, Coconut kernel products, Wood and paper"
"","60.8","53.0","-12.8","1.2",""
"Implemented in 2005","","","","","products, Rubber products"
"South Asian Free Trade Area (SAFTA)","","","","","Spices, Coconut kernel products, Base metals and articles, Textiles, Wood and paper"
"","55.9","42.2","-24.4","1.0",""
"Implemented in 2006","","","","","products"
"South Asian Preferential Trading Arrangement (SAPTA)","","","","",""
"","1.7","0.8","-55.6","0.02","Rubber products, Chemical products, Textiles, Coconut kernel products"
"implemented in 1995","","","","",""
"Total Exports under Preferential Agreements","4,887.8","4,420.4","-9.6","100.0",""
"As a Share of Sri Lanka’s Total Exports","40.9","44.0","","",""
"(a) Provisional","","","","","Sources: Department of Commerce"
