"Part II","","","Accounts and Operations of the Central Bank of Sri Lanka","","",""
"","Weighted 
2022","6 Months","6 to 12","1 to 2","2 to 5","Over 5"
"Local Currency Interest Rate","","","","","",""
"","Avg. Int. 
Total","or Less","Months","Years","Years","Years"
"Sensitivity Gap :","","","","","",""
"","Rate %
Rs.  000","Rs.  000","Rs.  000","Rs.  000","Rs.  000","Rs.  000"
"Interest Sensitive Local Currency","","","","","",""
"Financial Assets","","","","","",""
"Sri Lanka Government Securities","4.7333  2,498,995,015","2,481,264,384","","-    15,768,874","1,961,757","-"
"Securities Purchased under Resale","","","","","",""
"","15.5000
 698,069,219","698,069,219","","-   
 -","-","-"
"Agreements","","","","","",""
"Loans to Banks","1.0000
 28,257,902","26,398,994","196,759","1,561,865","100,284","-"
"Other Assets  - Staff Loans","3.3688
 8,053,421","261,770","226,096","461,704","1,469,430","5,634,421"
"- Others","18,556,718 
9.0352","1,763,964","2,738,646","1,696,628","5,502,281","6,855,199"
"Total  Interest Sensitive Local","","","","","",""
"","3,251,932,275","3,207,758,331","","3,161,501  19,489,071","9,033,752  12,489,620",""
"Currency Financial Assets","","","","","",""
"Non Interest Sensitive Local","","","","","",""
"Currency Financial Assets","","","","","",""
"Provisional Advances to Government","235,638,700","235,638,700","","-   
 -","-","-"
"Other Assets - Others","3,572,421","3,572,421","","-   
 -","-","-"
"Investment in Equity Securities","","","","","",""
"- Fair Value through Other","","","","","",""
"","1,817,132","-","","-   
 -","-","1,817,132"
"Comprehensive Income","","","","","",""
"Total Non Interest Sensitive","","","","","",""
"","241,028,253","239,211,121","","-   
 -","-","1,817,132"
"Local Currency Financial Assets","","","","","",""
"Total Local Currency Financial","","","","","",""
"","3,492,960,528","3,446,969,452","","3,161,501  19,489,071","9,033,752  14,306,752",""
"Assets","","","","","",""
"Interest Sensitive Local Currency","","","","","",""
"Financial Liabilities","","","","","",""
"Standing Deposit Facility","330,637,059 
14.5000","330,637,059","","-   
 -","-","-"
"Total Interest Sensitive Local","","","","","",""
"","330,637,059","330,637,059","","-   
 -","-","-"
"Currency Financial Liabilities","","","","","",""
"Non Interest Sensitive Local","","","","","",""
"Currency Financial Liabilities","","","","","",""
"Deposits of Banks and Financial","","","","","",""
"","323,046,181","323,046,181","","-   
 -","-","-"
"Institutions","","","","","",""
"Deposits of Government and","","","","","",""
"","221,411","221,411","","-   
 -","-","-"
"Governmental Entities","","","","","",""
"Currency in Circulation","1,026,567,252","1,026,567,252","","-   
 -","-","-"
"Other Payables","68,320,347","68,320,347","","-   
 -","-","-"
"Total Non Interest Sensitive Local","","","","","",""
"","1,418,155,191","1,418,155,191","","-   
 -","-","-"
"Currency Financial Liabilities","","","","","",""
"Total Local Currency Financial","","","","","",""
"","1,748,792,250","1,748,792,250","","-   
 -","-","-"
"Liabilities","","","","","",""
"Local Currency Interest Rate","","","","","",""
"","2,921,295,216","2,877,121,272","","3,161,501  19,489,071","9,033,752  12,489,620",""
"Sensitivity Gap","","","","","",""
