"Carrying Amount","","-","281,421,074","-","-","281,421,074"
"Local Currency Financial Assets","","","","","",""
"Sri Lanka Government Securities","Government Securities","","","","",""
"","(Risk Free Investment)","2,498,995,015","-","-","-","2,498,995,015"
"","","2,498,995,015","-","-","-","2,498,995,015"
"Securities Purchased under Resale","Other Risk Free","","","","",""
"","","698,069,219","-","-","-","698,069,219"
"Agreements","Investment","","","","",""
"","","698,069,219","-","-","-","698,069,219"
"Provisional Advances to Government","Receivable from the","","","","",""
"","Government (Risk","","","","",""
"","Free Investment)","235,638,700","-","-","-","235,638,700"
"","","235,638,700","-","-","-","235,638,700"
"Loans to Banks","AAA","-","-","3,333","-","3,333"
