"","","","","","Average Retail Prices of Selected Food Items by Province 2021 - 2022 (a)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","Rs. per kg"
"","","Western Province","","","","Central Province","","","","North Central Province","","","","North Western Province","","","","Sabaragamuwa Province","",""
"Consumer Items","2021","","2022 (b)","","2021","","2022 (b)","","2021","","2022 (b)","","2021","","2022 (b)","","2021","","","2022 (b)"
"","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half","1st half","2nd half"
"Samba Rice (Highest)","138.28","146.03","196.79","233.87","139.54","152.10","216.03","245.98","135.05","148.71","203.65","232.10","142.77","151.98","209.00","240.20","143.13","158.49","209.20","237.50"
"Kekulu Red (Highest)","105.01","110.06","188.40","229.56","106.38","114.04","189.65","230.63","104.56","116.78","183.60","211.73","108.59","117.63","189.99","240.82","102.19","110.97","191.26","217.98"
"Dried Chilli (Ord.)","564.02","592.48","1,304.39","1,770.14","594.24","618.27","1,308.86","1,765.16","575.34","615.32","1,312.57","1,745.07","568.31","593.94","1,350.29","1,782.16","591.09","607.42","1,311.29","1,734.27"
"Red Onion (Local)","399.29","327.48","403.74","524.82","334.30","335.14","384.42","489.41","404.39","286.71","371.27","522.88","348.13","304.73","417.05","536.56","335.00","281.44","385.91","463.21"
"Big Onion (Imported)","118.37","155.75","202.43","220.67","116.91","156.50","215.88","226.78","107.91","156.56","194.33","208.24","110.65","157.89","206.95","219.79","116.88","160.20","194.16","212.53"
"Potato (Local)","181.77","228.70","288.59","416.59","164.82","203.76","257.21","369.05","190.32","212.39","260.00","348.40","176.40","212.90","280.43","399.87","173.05","219.15","270.79","380.11"
"Beans","219.07","297.01","397.97","467.70","201.78","255.86","367.11","438.21","249.41","322.63","427.80","452.91","221.30","316.48","428.30","465.40","192.50","284.28","353.90","413.24"
"Pumpkin","140.30","136.71","185.15","237.51","113.80","112.12","157.72","213.15","142.80","109.26","161.82","211.12","129.84","116.23","163.40","209.70","107.04","106.13","154.90","192.25"
"Brinjal","184.11","243.67","312.66","386.42","155.41","201.46","296.74","360.53","169.41","241.01","305.83","344.83","160.35","238.72","297.82","358.98","143.20","201.74","238.76","261.96"
"Coconut (Large) - each","100.02","86.40","94.15","96.71","93.38","81.85","90.10","93.18","88.14","70.37","74.61","75.20","83.69","71.21","78.53","78.28","95.75","75.21","85.10","85.05"
"Fish - Balaya","754.37","800.49","1,253.79","1,664.12","564.18","607.90","850.64","1,115.45","624.80","738.39","1,222.18","1,614.74","496.52","572.95","859.79","1,101.08","705.56","658.80","822.24","1,215.97"
"Fish - Kelawalla (Tuna)","1,075.13","1,204.84","1,623.62","2,191.02","1,008.31","1,144.73","1,538.84","1,981.62","1,148.13   1,290.53","","1,693.75","2,214.90","791.30","980.00","1,291.60","2,031.54","1,022.64","1,162.53","1,442.37","2,080.77"
"Fish - Hurulla (Triencheal)","561.94","550.93","761.02","1,033.94","523.16","548.09","700.21","1,024.19","499.30","547.78","763.65","1,029.18","481.07","474.69","642.95","836.08","640.38","635.60","784.61","1,127.97"
"Dried Fish - Sprats","604.46","723.81","1,003.16","1,448.87","695.05","754.97","950.04","1,614.00","630.00","734.27","1,005.44","1,540.29","583.22","736.15","1,043.00","1,549.04","583.66","713.19","947.78","1,375.80"
"Dried Fish - Katta","1,441.81","1,499.90","1,896.11","2,796.71","1,407.38","1,491.73","1,760.53","2,613.04","1,353.80   1,463.59","","1,784.95","2,687.75","1,300.44","1,353.41","1,699.39","2,522.18","1,468.57","1,524.73","1,772.80","2,501.74"
"Chicken (Broiler - Frozen)","522.55","605.41","802.08","1,182.56","511.45","592.25","853.04","1,261.31","516.50","594.79","833.35","1,162.88","490.96","579.76","814.60","1,167.00","514.96","583.71","813.27","1,165.68"
"Eggs (White) - each","16.06","19.85","28.67","50.18","16.01","20.04","29.43","50.50","16.13","19.88","28.75","50.13","16.39","20.19","29.28","50.07","16.16","20.05","27.88","49.14"
"Milk Powder 400 g","379.22","422.97","647.43","1,184.20","383.64","433.57","706.67","1,169.96","377.83","425.00","560.77","1,213.33","380.00","424.44","623.33","1,188.00","380.00","422.86","589.29","1,183.41"
