"Item","","","","","","","","","",""
"","2018","2019","2020","2021","2022 (b)","2018","2019","2020","2021","2022 (b)"
"Black Tea","","","","","","","","","",""
"Bulk","122,428","122,844","118,251","125,388","110,453","553","490","479","491","487"
"Packets","131,257","139,080","118,177","128,344","110,765","620","590","523","555","517"
"Bags","21,578","22,913","22,173","24,665","21,674","185","191","172","199","180"
"Green Tea","","","","","","","","","",""
"Bulk","1,116","998","582","874","599","6","5","3","4","3"
"Packets","1,671","1,821","1,734","1,666","1,634","14","15","14","13","13"
"Bags","1,833","1,930","1,810","2,047","1,990","31","33","28","35","35"
"Instant Tea","2,481","3,072","2,843","3,032","3,077","20","23","22","26","25"
"Total","282,364","292,657","265,570","286,016","250,192","1,428","1,346","1,241","1,324","1,259"
"(a)   Bags: less than 4g","","","","","","","","","Source: Sri Lanka Customs",""
