"","","","",""
"Category of Institution","Permitted business","","","No. of 
permits 
issued"
"Limited Liability Companies","Buying and 
exchanging foreign","","",""
"that are solely engaged in","currency","","",""
"the money changing business","","","","59*"
"","","Buying, selling and","",""
"","","","",""
"","","","",""
"(money changers)","","exchanging foreign","",""
"","currency","","",""
"","","Buying, selling and","",""
"","","","",""
"Licensed Finance Companies","","","",""
"(LFCs)","currency","exchanging foreign","","06"
"","","","",""
"Tourist Hotels","Buying foreign","","","14"
"","","","",""
"","currency","","",""
"Total","","","","79"
"","","","",""
