"Source of 
Funds","","Name","","","","","","","Objective","","","","","","","","","","","","","","","","","","","","","","","","Type of the","","Release of 
funds in","","","Interest Rate 
to the end","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scheme","","","2022","","borrower","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(Rs. million)","","(% p.a.)","","","","","",""
"Government","","PAMP-RF","","","","","","","Poverty alleviation through promotion of income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","generating activities and organising low income groups to 
link them with formal banking system.","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","69.30","","","12.00","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Generate employment opportunities for new young","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Swashakthi Loan Scheme","","","","","","","entrepreneurs engaged in income generating activities","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","175.00","","","5.50","","","","","",""
"","","","","","","","","","MSME Sectors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Provide financial assistance to youth trained by recognised","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SEPI II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","vocational training institutions for establishment of their","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","2.00","","","7.00","","","","","",""
"","","","","","","","","","own self-employment projects.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAPP- RF Income Generation Loan 
Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","83.10","","","6.50","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAPP - RF Agribusiness Loan 
Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","161.70","","","6.50","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAPP - RF Youth Loan Scheme","","","","","","","","Increase the production, productivity, quality, and value","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","357.80","","","6.50","","","","","",""
"","","","","","","","","","addition of agriculture produce.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAPP - RF FI Bulk Loan Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","59.36","","","6.50","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Funded","SAPP - RF Promoter Bulk Loan 
Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","31.16","","","6.50","","","","","",""
"","","","","","","","","","Re-energise the Tea supply chain by supporting existing 
tea manufactures to revamp their businesses.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SCREL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","12.00","","","3.50","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","NCRCS1","","","","","","","Uplift the socioeconomic conditions of micro and small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00 until","","","","",""
"","","","","","","","","","scale farmers who engage in cultivation of paddy and","","","","","","","","","","","","","","","","","","","","","","","","Interest Subsidy","","5,034.60","","","","15.06.2022","","","","",""
"","","","","","","","","","short term crops including home gardening.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","thereafter 8.00","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Interest Subsidy Scheme for","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1st 18","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Intensification of Shrimp Farms in Sri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","months-4.50","","","","","",""
"","","","","","","","","","Assist Shrimp farmers to upgrade their farms","","","","","","","","","","","","","","","","","","","","","","","","Interest Subsidy","","","","","","","","","","",""
