"Item","2021","","","",""
"","","","","",""
"","","","2022(a) Change","",""
"","","","","",""
"","","","","(%)",""
"Total value of the Fund (Rs.bn)","3,166.1","3,459.9","9.3","",""
"Total liability to members (Rs.bn)","3,066.9","3,380.6","10.2","",""
"Total number of member accounts (mn)","20.3","20.4","0.5","",""
"Contributing member accounts (mn)
  Non-contributing member accounts (mn)
Total contributions (Rs.bn)","2.5
17.8
165.7","2.4
18.0
194.6","(4.0)
1.1
17.4","",""
"","","","","",""
"","","","","",""
"Total refunds (Rs. bn)","118.2","163.0","37.9","",""
"Net contribution (Rs.bn)
Number of refunds","47.5
179,681","31.6
254,630","(33.6)
41.7","",""
"","","","","",""
"","","","","",""
"(a) Provisional                         Source: EPF Department, Central Bank of Sri Lanka","","","","",""
