"","","","","","Release of","Interest Rate",""
"Source of","","","","Type of the","funds in","to the end",""
"","","Name","Objective","","","","Remarks"
"Funds","","","","Scheme","2021","borrower",""
"","","","","","(Rs. million)","(% p.a.)",""
"","","","Poverty alleviation through promotion","","","",""
"","","","of income generating activities and","","","",""
"","PAMP-RF","","","Refinance","31.20","12.00",""
"","","","organising low income groups to link them","","","",""
"","","","with formal banking system","","","",""
"","","","Generate employment opportunities, for new","","","",""
"","Swashakthi Loan Scheme","","young entrepreneurs engaged in income","Refinance","1,433.50","5.50",""
"","","","generating activities in the MSME Sector","","","",""
"","","","Provide financial assistance to youth","","","",""
"","","","trained by recognised vocational training","","","",""
"","SEPI-Phase II","","","Refinance","5.35","7.00",""
"","","","institutions for establishment of their own","","","",""
"","","","self-employment projects","","","",""
"","","SAPP-RF Income Generation Loan","","","","",""
"","","","","Refinance","34.64","6.50",""
"","Scheme","","Increase the production, productivity,","","","",""
"","","","quality and value addition of agriculture","","","",""
"","","SAPP-RF Agribusiness Loan Scheme","","Refinance","11.98","6.50",""
"","","","produce","","","",""
"","","SAPP-RF Youth Loan Scheme","","Refinance","132.26","6.50",""
"","","","Re-energise the tea supply chain by","","","",""
"GOSL","","","","","","",""
"","SCREL","","supporting existing tea manufactures to","Refinance","39.00","3.50",""
"Funded","","","revamp their businesses","","","",""
"","","","Uplift the socioeconomic conditions","","","","PFIs own funds"
"","","","of micro and small scale farmers who","","","","and Interest"
"","NCRCS","","","Interest Subsidy","9,576.68","4.00",""
"","","","engage in cultivation of paddy and short","","","","Subsidy by"
"","","","term crops including home gardening","","","","GOSL"
"","","","","","","1st 18","PFIs own funds"
"","","Interest Subsidy Scheme for Intensifica-","Assist Shrimp farmers to upgrade their","","","months-4.50","and Interest"
"","","","","Interest Subsidy","","",""
"","","tion of Shrimp Farms in Sri Lanka","farms","","","Next 6","Subsidy by"
"","","","","","","months-8.50","GOSL"
"","","","Provide concessionary credit facilities for","","","",""
"","","","the smallholder farmers involved in the","","","",""
"","","","STaRR Project, who have experienced","","","",""
"","","","delayed income generation from","","","","PFIs own funds"
"","","","replanted and new planted tea and","","","","and Interest"
"","STaRR","","","Interest Subsidy","107.82","6.50",""
"","","","rubber plantations, by supporting them","","","","Subsidy by"
"","","","to establish a self-employment or a short","","","","GOSL"
"","","","term income generating activity until such","","","",""
"","","","time the income is generated from their","","","",""
"","","","replanted or new planted plantations","","","",""
"","","","Start up or expand any micro, small and","","","",""
"","Saubagya Loan Scheme","","medium scale enterprise (MSME) or any","Refinance","5,008.50","6.00",""
"","","","MSME affected by a disaster","","","",""
"","","","Fulfill the working capital requirements","","","",""
"","SCRF-Phase IV","","and setting the statutory obligations of","Refinance","-","4.00",""
"","","","State Owned Enterprises (SOEs)","","","",""
"","","","","","","<Rs.1mn -",""
"","","","","","","4.00",""
"","","","Develop the domestic agriculture sector","","","",""
"","DAD-PP","","","Refinance","-",">Rs.1mn to",""
"","","","and to promote agriculture exports","","","",""
"","","","","","","Rs.25 mn -",""
"","","","","","","5.00",""
"CBSL","","","","","","",""
"","SCRF-Phase I","","","Refinance","5,029.11","4.00",""
"","","","Support the economic recovery efforts of","","","",""
"","SCRF-Phase II","","","Refinance","3,416.90","4.00",""
"","","","the businesses and individuals negatively","","","",""
"","","","affected by the COVID-19 pandemic","Interest Subsidy","","",""
"","SCRF-Phase III","","","& Credit","1,891.09","4.00",""
"","","","","Guarantee","","",""
"","","","Provide credit guarantee to the","","","","CBSL - Credit"
"","","","Participating Financial Institutions","","","","Guarantee"
"","","Credit Guarantee Scheme for the","","Credit","","Prevailing",""
"","","","(PFIs) who provide loans to the eligible","","-","","PFI’s - Loan"
"","","MSME Rice Mill Owners in Sri Lanka","","Guarantee","","market rate",""
"","","","borrowers under the Scheme for the","","","","Financing"
"","","","purpose of purchasing paddy","","","",""
"","","","","","234.92","6.50","International"
"","","SAPP - 4P Agribusiness Loan Scheme","","","","",""
"Donor","","","","","","","Fund for"
"","","","Increase the production, productivity,","","","",""
"Funded","","SAPP - 4P Youth Loan Scheme","quality, and value addition of agriculture","Refinance","256.33","6.50","Agriculture"
"","","","produce","","","","Development"
"Agencies","","","","","","",""
"","SAPP - FI Bulk Loan","","","","58.85","6.50","(IFAD)"
