"Accounts and Operations of the Central Bank of Sri Lanka","","","","","Part II"
"","The following significant exchange rates have been applied by the Bank.","","","",""
"Currency","","Average Rate","","Year-end Spot Rate",""
"","2021","2020","2021","2020",""
"","Rs","Rs","Rs","Rs",""
"1 USD","200.1553","185.8584","200.4338","186.4082",""
"1 EUR","236.2532","213.1154","227.8832","227.7256",""
"1 JPY","1.8137","1.7488","1.7417","1.8055",""
"1 GBP","275.2172","239.9567","271.2270","254.8200",""
"1 SDR","285.0534","259.7846","280.9312","272.6200",""
"1 AUD","149.8331","128.8643","145.5851","143.4225",""
"Sensitivity Analysis","","","","",""
"","A reasonably possible strengthening/ (weakening) of the above currencies against the Sri Lanka Rupee as at reporting date","","","",""
"","would have affected the measurement of financial instruments denominated in a foreign currency and affected the profit or","","","",""
"loss by the amounts shown below.","","","","",""
