"Details","Instrument","","","","","","","","","","","","","","","","","","",""
"","Short Term 
Repo/	Reverse	
Repo Auctions","Short Term 
Liquidity 
Support Facility 
Auctions","","","Long Term","Outright	Sales/","","Long Term","","Foreign","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","Repo/	Reverse","Purchases","","Liquidity 
Support Facility","","Exchange SWAP","","","Standing 
Facility","","","","","","Central Bank 
Securities",""
"","","","","","Repo Auctions","Auctions","","Auctions","","Auctions","","","","","","","","","",""
"Auction  Time","1000 -1030 hrs","1100 - 1130 hrs","","","1300 - 1330 hrs","1300 - 1400 hrs","","1400 - 1430 hrs","","1300 - 1400 hrs","","","Cutoff time 1530 
hrs","","","","","","Issue - 1100-
1430 hrs
Retirement - 
1300-1400 hrs",""
"Settlement on 
OEBS","T+0","T+0","","","T+1","T+1","","T+1","","T+2","","","T+0","","","","","","by 1500 hrs",""
"Settlement time","by 1315 hrs","by 1315 hrs","","","T+1	by	0830	hrs","T+1	by	0830	hrs","","T+1	by	0830	hrs","","T+2","","","SDF - by 1600 
hrs
SLF -  by 1615 
hrs (usually 
settled around 
1545 hrs)","","","","","","by  0830 hrs
Sell back facility - 
T+0	by	1615	hrs
Retirement	-	T+1",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","by 0830 hrs",""
"Reversal on 
Maturity date","Repo - by 0800  
hrs
Reverse Repo - 
by 1100  hrs","by 1100  hrs","","","Repo - by 0800  
hrs
Reverse repo - by 
1100  hrs","n/a","","by 1100  hrs","","by close of 
business","","","SDF -  by 0800 
hrs
SLF  -  by 1100 
hrs","","","","","","by  0830 hrs",""
"Counterparty","LCB and EPF","Standalone 
Primary Dealers","","","LCB and EPF","LCB, SPD and 
EPF","","SPD","","LCB","","","LCB, SPD and 
EPF","","","","","","LCB, SPD and 
EPF",""
"","","","(SPD)","","","","","","","","","","","","","","","","",""
"Tenor","1-7 days","1-7 days","","","More than 7 days","n/a","","More than 7 days","","Upto 1 Year","","","Overnight","","","","","","Upto 1 Year",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
