"","Serial 
No.","Registration No. 
assinged by the 
CBSL","NIC	No.	/
Business 
Registration No.","","Granted Loan","Amount Settled 
as Credit","Amount 
Recovered from","","Amount to be"
"","","","","","Amount (Rs)","Guarantee (Rs)","the Borrower 
(Rs)","","Remitted to Central 
Bank (Rs)"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","Total","","","","","","","",""
