"TIME","EVENT","ACTIVITIES /TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"","",""
"0730 hrs. to
0800 hrs.","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"","",""
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions."
"0800 hrs.","ILF/Auto reversal of Repos and 
Standing Deposit Facility (SDF)","Grant ILF and settle second leg of Repos of OMO and SDF"
"","",""
"0815 hrs.","Maturities/Interest payments, start of 
the day (SOD) file and maturities of 
CBSL Securities","Settlement  of  maturity  proceeds/coupon  payments  of  securities, 
effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL 
Securities"
"0830 hrs.","Multilateral Net Settlement (MLNS) 
Batch from LankaClear","SLIPS Cycle 1/Main Clearing of CITS."
"","",""
"0830 hrs.","Outright sales/ Purchases /
Long Term Repo Auction/
Issue of Long Term CBSL
Securities","Settlement of OMO outright sales,
purchases, Long Term CBSL Securities
Auction and first leg of Long-Term Repo
Auction."
"","",""
"0845 hrs.","Primary Auction Issuance (where 
applicable)","Issuance of Primary Auction (where applicable)."
