"TIME","EVENT","ACTIVITIES /TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to 
0800 hrs.","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions."
"","",""
"0810 hrs.","ILF/Auto reversal of Repos and 
Standing Deposit Facility (SDF)","Grant ILF and settle second leg of Repos of OMO and SDF"
"","",""
"0845 hrs.","Multilateral Net Settlement (MLNS) 
Batch from LankaClear","Main Clearing of CITS."
"0920 hrs.","","TBond primary auction settlement"
"1000 hrs.","Reversal of Reverse Repos and 
Standing Lending Facility (SLF)","Settlement of second leg of Reverse Repos under OMO and SLF"
"1100 hrs.","Closure of Primary Auction Settlement/
Short Term CBSL Securities Auction","Settlement of securities under Primary Auction.
Settlement of Short Term CBSL Securities Auction"
"","MLNS Batch from LCPL","Settlement  Clearing  and  adjustment  clearing  will  happen  on 
17.03.2020"
"","Primary cut-off time for third party 
transactions","Close for new transactions (for T + 0) in favour of third parties, 
except for bank-to-bank (MT2XX series)."
"","",""
"1230 hrs.","Cut-off time for Participant managed 
ILF Repo creation","Participants should not initiate ILF Repos after 1230 hrs."
"","",""
"1240 hrs.","SDF","Settlement of first leg of SDF"
"1250 hrs.","SLF","Settlement of first leg of SLF."
"","",""
"1250 hrs.","ILF Repayment","Repayment of ILF."
"1300 hrs.","Final Cut-off Time
Closure of System for business","No  further  inputs  are  accepted.    With  the  closure  of  system 
for  business,  queue/Settlement  processing  will  cease  and  any 
transactions still in queues will be rejected by the system."
"1300 hrs. to 
1315 hrs.","EOD processing","End-of-day (EOD) processes e.g. generate reports/GL export (EOD) 
file, database maintenance for billing/statement printing purposes."
"1315 hrs.","System shut down","Commence  shutting  down  of  RTGS/SSS  application  software, 
obtain off-line backups."
